,contextId,context,question
0,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",1. Who can I contact at the college for information on available programs and guidance through the application process?
1,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",2. How do domestic applicants send their questions to a recruiter?
2,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",3. What is the registration process for campus tours for domestic applicants?
3,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",4. What topics are covered in cross-college info sessions for domestic applicants?
4,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",5. Where can international applicants direct their inquiries?
5,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",6. What is the role of the International Centre for international applicants?
6,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",7. How can international applicants register for international sessions?
7,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",8. Which resources does the text suggest using to identify programs of interest?
8,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",9. What purpose does the Program Finder tool serve for applicants?
9,9e5c4610-7309-4470-9826-38f952462624," The text provides information on how to connect with the Recruitment and Advising team of the college for domestic and international applicants. It mentions several ways to get in touch with the team, including sending questions and registering for campus tours and info sessions. The text also highlights resources available for applicants, such as program finder tool and career coach, to help identify programs of interest and check admissions requirements. It is important to note that no specific programs are mentioned in the text.

FACTUAL INFORMATION:
- Recruitment and Advising team can be contacted for available programs and guidance through the application process
- Domestic applicants can send their questions to a Domestic Recruiter, register for campus tour and cross-college info sessions, and use Program Finder tool
- International applicants can send their inquiries to the International Centre, register for international sessions, and also use Program Finder tool.
- Campus tours include Q&A sessions to answer many questions.
- Cross-college info sessions cover topics like how to pay for college, applying as an adult learner, etc.
- Program advisors are available for one-on-one consultation after using research tools.
- Applicants are advised to check admissions requirements before applying.
- Program Finder tool and Career Coach resources are available for identifying programs of interest.
- Contact details for Domestic Advisors and International Recruiters are provided.",10. What is the function of the Career Coach resource?
