,contextId,context,question
0,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",What is the name of this nursing program?
1,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", What code is associated with the Registered Nurse – Critical Care Nursing program?"
2,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", What kind of credential will be earned after completing this program?"
3,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", How long does it take to complete this Ontario College Graduate Certificate program?"
4,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", In which months can one start this full-time program?"
5,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", What is the domestic tuition fee for this Critical Care Nursing program?"
6,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", Where is this program located?"
7,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", How are students expected to study in this program?"
8,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", What topics are covered in the courses for this nursing program?"
9,f4d2548d-af30-48cd-8cdb-1191c3293cad," Program Name: Registered Nurse – Critical Care Nursing
Code: S402
Credential: Ontario College Graduate Certificate
Duration: 1 semester
Starting Months: January, September
Domestic Tuition: $2,287.00 *
Location: Waterfront Campus (Daphne Cockwell Centre for Health Sciences)
Method of Study: Full-time
Program Description: Prepares registered nurses to provide safe and competent care to critically ill individuals and their families.
Courses cover Level 1, 2 and 3 Critical Care Standards of Practice as outlined by the Ontario Ministry of Health and Long-Term Care and Critical Care Nursing Standards from the Ministry of Colleges and Universities (MCU).
Clinical courses provide nurses with a safe learning environment to practice critical care knowledge, skills, and judgment in critical care units across the Greater Toronto Area.
Limited clinical placements available.",", Where do clinical placements take place for this critical care nursing program?"
