,contextId,context,question
0,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",What is the name of the program with code R115?
1,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", What kind of credential will I receive after completing this program?"
2,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", How long does it take to finish this program?"
3,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", In which months can I start this program?"
4,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", How much does international students pay for tuition in this program?"
5,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", Where is this program offered?"
6,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", Which delivery methods are available for the fall 2023 semester?"
7,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", What delivery methods will be used during the winter 2024 semester?"
8,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",", What are some related programs to this General Arts and Science – English for Academic Purposes (R115)?"
9,56f4111b-ec81-4f80-a515-809824d0afb7," Program Name: General Arts and Science – English for Academic Purposes (R115)
Code: R115
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 3 semesters, Levels 1-9 depending on initial placement test
Starting Months: January, March, May, July, September, October
International Tuition: $3,118.00 * †
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL
Location: St. James Campus
Fall 2023 Delivery: Choice of Semesters 1, 2, 3
Winter 2024 Delivery: Hybrid (Semester 1, 2, 3)
Related Programs: General Arts and Science – English for Academic Purposes (R105), Tourism and Hospitality Management (H130), Practical Nursing (PN) (S121)",?
10,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",* In which semesters does each level of the EAP program cover?
11,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",", What are the interactive teaching resources like in the EAP program?"
12,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",", When do placement tests for the EAP program start happening?"
13,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",", What skills can students develop through Selectives courses?"
14,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",", Which pathways are available at Levels 7 and 8 in the EAP program?"
15,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",", What can students pursue after completing Level 8 or Level 9 in the EAP program?"
16,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",", What is required to earn an Ontario College Certificate from the EAP program?"
17,c04540ac-1677-4a6a-aa36-d3f1a4008f19," * The EAP program offers interactive teaching resources in-person and online.
* There are nine levels of EAP, with each semester covering two levels.
* Students begin at a level determined by their placement test or English language exam score report.
* Classes are held Monday to Friday from 9 a.m. to 1 p.m.
* Students can choose to enroll in Selectives courses to develop specific skills.
* At Level 7 or Level 8, students can choose from three pathways: regular EAP, English for Business Studies, or English for Hospitality Studies.
* Upon completion of Level 8 or Level 9, students can pursue further studies to earn an Ontario College Certificate.
* Placement tests are offered on various dates throughout the academic year, starting from August 2023 to July 2024.
* Students who successfully complete Levels 8 or 9 with at least two EAP levels completed at George Brown College will earn an Ontario College Certificate.",?
18,0e6e4e5c-771f-4641-8659-ba68459272af," Students who complete EAP Level 8 at George Brown College are exempt from the English admissions test for most certificate and diploma programs at George Brown College and many other Ontario colleges. Completion of EAP Level 9 prepares students with the study, research, and essay-writing skills required for diploma, postgraduate, and degree-level programs. There are ten levels in total, each taught over a span of eight weeks. Students can enroll in full semesters to complete two levels per semester. The courses are named ESL 1131 to ESL 1139. Students take a level placement test or submit official IELTS, TOEFL, or Duolingo score reports to determine which level they will start in. Placement tests are administered by the School of ESL and Immigrant Education or the International Centre. Each level is taught over eight weeks, and students have the option to choose online or in-person classes.",1. Which levels of EAP program does completing Level 8 exempt students from English admissions test?
