,contextId,context,question
0,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",What is the name of this business program?
1,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", What is the code for this business diploma program?"
2,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", How long does it take to complete this Business program?"
3,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", Is this Business program available for study in a full-time format?"
4,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", In which months can I start this Business program?"
5,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", What is the domestic tuition fee for this Business program?"
6,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", What is the international tuition fee for this Business program?"
7,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", Where is this Business program located?"
8,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", Is this Business program open for admissions in Fall 2024 and Winter 2025 (for both domestic and international students)?"
9,05573625-7e04-4f95-9f4f-08b25fc0cc59," Program Name: Business
Code: B125
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $3,626.00 *
International Tuition: $17,925.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Open (Domestic and International)
Add to Comparison: +
Compare Programs: Compare Programs
Related Programs: Business Administration (B145), Business – Marketing (B120), International Business Management (Postgraduate) (B411)
Program Description: The Business two-year diploma program provides students with the tools to perform business functions at a local, national, and global level. Graduates can look forward to career opportunities such as customer service representative, junior business analyst, or scheduling coordinator.
Skills gained after completion of the program include using an environmental scan to identify and discuss the impact of global issues on an organization's business opportunities, enhancing business performance through ongoing personal and professional development, implementing principles of corporate sustainability, social responsibility, and ethics, and contributing to the planning, implementation, and monitoring of projects.
Accreditation: The Centre for Business program is part of the School of Management. The college is accredited by ACBSP. 

*Domestic tuition may vary depending on the province of residence.
**International tuition is subject to change.",", What skills will I gain after completing this Business program?"
