,contextId,context,question
0,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",1. What is the email address for registration inquiries with Accessible Learning Services?
1,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
2. Where can I find the Welcome Desk at 200 King St. East and what are the contact details?"
2,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
3. What is the phone number for the Welcome Desk at 160 Kendal Avenue?"
3,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
4. What is the email address for general inquiries and booking appointments at Daphne Cockwell Centre for Health Sciences?"
4,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
5. In which room can I find the Welcome Desk at 99 Gerrard Street East and what are the contact details?"
5,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
6. What is the phone number for the Welcome Desk at 200 King St. East, Room 173 B-A?"
6,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
7. What is the toll-free number to contact George Brown College?"
7,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
8. Where can I find the contact information for TTY service and social media hubs?"
8,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
9. Is the information on this website subject to change without notice?"
9,04d1ae15-ad08-4eca-86f4-e671023436e3," Contact information for Accessible Learning Services and Welcome Desks at George Brown College:

1. ALSregister@georgebrown.ca (for questions regarding registration with Accessible Learning Services)
2. 200 King St. East, room 582C, Phone: 416-415-5000 ext. 2622, Email: letstalk@georgebrown.ca (for general inquiries and booking appointments)
3. 160 Kendal Avenue, room C317, Phone: 416-415-5000 ext. 4585, Email: letstalkcl@georgebrown.ca
4. Daphne Cockwell Centre for Health Sciences, 51 Dockside Drive, room 225, Phone: 416-415-5000 ext. 5370, Email: letstalkwf@georgebrown.ca
5. 99 Gerrard Street East, Room SHE597, Phone: 416-415-5000 ext. 2621, Email: letstalk@georgebrown.ca
6. 200 King St. East, Room 173 B-A, Phone: 416-415-5000 ext. 4654, Phone (toll-free): 1-800-265-2002, Email: dhhs@georgebrown.ca

Additional contact information:
TTY: 1-877-515-5559
Email: ask.george@georgebrown.ca
Social Media Hub (two instances)

Website note: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",?
