,contextId,context,question
0,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",What is the name of this program?
1,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", What is the code for T167 program?"
2,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", What kind of credential will I get after completing this program?"
3,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", How long does this program last?"
4,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", When can international students apply for this program?"
5,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", What is the domestic tuition fee for this program?"
6,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", What is the international tuition fee for this program?"
7,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", Where is this program located?"
8,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", Is this program available in Fall 2024 for international students?"
9,fa0ec4ff-3665-4d2b-a417-81b9589f1ac0," Program Name: Electrical Techniques
Code: T167
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May
Domestic Tuition: $5,181.00
International Tuition: $18,054.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Domestic - Open, International - Opens Aug 6, 2024
Program Description: One-year program building knowledge of electricity and electronics for residential and commercial electrician applications. Covers installation, testing, maintenance, analysis, and troubleshooting of electrical circuits, equipment, and systems under supervision. Graduates may increase their marketability and knowledge of the electrical industry or pursue further education.
Career & Postgraduate Study Opportunities: Various career options in the electrical industry. Graduates may also be interested in continuing on to a two-year or three-year program at George Brown College.
Industry: Construction Industry",", What career opportunities are available after completing this program?"
