,contextId,context,question
0,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",What is the name of this education program?
1,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", What is the code for the Early Childhood Education program?"
2,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", what kind of credential will I receive from this program?"
3,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", How long does the full-time study last for Early Childhood Education?"
4,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", Is it possible to complete this program in 16 months with summer classes?"
5,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", When can I start this program (months availabe)?"
6,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", What is the domestic tuition fee for Early Childhood Education program?"
7,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", What is the international tuition fee for Early Childhood Education program?"
8,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", Where is this program located?"
9,8ff63bd7-b95b-4628-b598-f8c8fe41bdd3," Program Name: Early Childhood Education
Code: C100
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters, September start) or 16 months continuous with summer classes (January, May start)
Starting Months: January, May, September
Domestic Tuition: $3,998.00 *
International Tuition: $18,130.00 **
Program Location: George Brown College at Toronto Metropolitan University Campus
Program Structure: The program alternates between in-class learning and field placement
Field of Study: Early Childhood Education
Program Types: Offered as a 2-year diploma program or a 16-month continuous program with summer classes.
Program Availability: Fall, Winter, Spring (Domestic and International students)
Related Programs: Early Childhood Education (Consecutive Diploma/Degree) (C118), Early Childhood Education (Fast-Track) (C130)",", How is the structure of the Early Childhood Education program designed?"
