,contextId,context,question
0,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",What is the name of the program offered?
1,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", What code is associated with this program?"
2,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", What type of credential will be earned upon completion?"
3,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", How long does the program last?"
4,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", Is the method of study for this program full-time?"
5,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", In what starting months can one begin this program?"
6,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", How much does it cost for domestic students to attend?"
7,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", What's the tuition fee for international students?"
8,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", Which centre oversees the offering of this program?"
9,42d6218e-f5d3-45fa-8f2a-bd676adb3b1d," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Method of Study: Full-time
Starting Months: January, September
Domestic Tuition: $4,266.00
International Tuition: $17,913.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Delivery: Hybrid and On-Campus (semester specific)
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", Under which school falls this particular program?"
