,contextId,context,question
0,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",What is the name of this graduate certificate program?
1,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", Which code is associated with Visual Effects program?"
2,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", What type of credential will I receive after completing this program?"
3,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", How long does it take to finish this program?"
4,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", When can I start this program in the next two years?"
5,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", What is the domestic tuition fee for this program?"
6,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", What is the international tuition fee for this program?"
7,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", In which centre is the Visual Effects program located?"
8,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", Which school offers this program?"
9,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", Where is the St. James Campus located?"
10,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", Could you explain the focus of the Visual Effects program?"
11,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)","., What skills will I gain in this one-year graduate certificate program?"
12,9a8abe20-476a-45b9-aea8-f7428c393c60," Program Name: Visual Effects
Code: P408
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $12,315.00
International Tuition: $32,675.00
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Program Description: The Visual Effects graduate certificate program expands knowledge in 3D animation, motion graphics, and audio/video editing for film and television industries. Students learn to combine technical skills with creativity and use digital lighting, surface attribute design, 3D compositing, and virtual engines to hone visual storytelling capabilities. Industry professionals guide students through classroom training and other relevant collaborative and extracurricular activities.
Program Overview: A one-year graduate certificate program that increases skills in 3D procedural animation, compositing, virtual production, and visual effects workflows for film, television, and video game industries. Students learn visual storytelling through digital lighting, surface attribute design, 3D compositing, and virtual engines while working with industry-leading technology like the LED wall.
Semester Availability: Fall 2024 (Domestic & International), Winter 2025 (Domestic only)
Related Programs: Video Design & Production (P112), Graphic Design (G102), Marketing Management – Digital Media (Postgraduate) (B433)",", How does the Visual Effects program help in film, television and video game industries?"
