,contextId,context,question
0,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",What is the name of this hospitality program?
1,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", What code is assigned to Hospitality – Hotel Operations Management?"
2,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", what type of credential will I receive after completing this program?"
3,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", How long does it take to finish this full-time program?"
4,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", In which months can I start this 2 year program?"
5,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", What is the domestic tuition fee for this program in the upcoming academic year?"
6,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", What is the international tuition fee for Hospitality – Hotel Operations Management?"
7,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", Where is this St. James Campus located?"
8,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", Is this program available in fall 2024 for both domestic and international students?"
9,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", When can domestic students apply to start this program in winter 2025?"
10,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", When can international students apply to begin this program in spring 2025?"
11,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",", What are some related programs offered at George brown college in the field of hospitality?"
12,77e5b0ab-ae6f-4e87-9e70-137319d1eb74," Program Name: Hospitality – Hotel Operations Management
Code: H133
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,890.00 *
International Tuition: $19,017.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (domestic students only, opens Apr 8, 2024)
- Spring 2025: Open (international students only, opens Aug 6, 2024)
Related Programs: Tourism and Hospitality Management (H130), Event Planning (H141), Food and Beverage Management – Restaurant Management (H132)
* Domestic tuition fee for the 2023-2024 academic year.
** International tuition fee for the 2023-2024 academic year.",?
13,33a6a851-2306-4bb2-855d-6daef1c105f9," The Hospitality – Hotel Operations Management program at this college offers students a choice between Canadian or international placements for a 14-week industry externship during their fourth semester. This practical experience enhances students' knowledge and helps them build contacts within the industry. Graduates may find employment opportunities in hotels, restaurants, casinos, luxury retirement homes, cruise ships, convention centers, entertainment complexes, clubs, bed and breakfasts, catering companies, and conference services. Students may also be eligible to enter the Honours Bachelor of Business Administration (Hospitality) degree program at George Brown College as an advanced standing student, with a minimum grade point average of 2.7. The required courses for this program are not provided in the text.",What type of placements are available for students in the Hospitality – Hotel Operations Management program?
14,33a6a851-2306-4bb2-855d-6daef1c105f9," The Hospitality – Hotel Operations Management program at this college offers students a choice between Canadian or international placements for a 14-week industry externship during their fourth semester. This practical experience enhances students' knowledge and helps them build contacts within the industry. Graduates may find employment opportunities in hotels, restaurants, casinos, luxury retirement homes, cruise ships, convention centers, entertainment complexes, clubs, bed and breakfasts, catering companies, and conference services. Students may also be eligible to enter the Honours Bachelor of Business Administration (Hospitality) degree program at George Brown College as an advanced standing student, with a minimum grade point average of 2.7. The required courses for this program are not provided in the text.",", Where can students do their industry externship in their fourth semester?"
15,33a6a851-2306-4bb2-855d-6daef1c105f9," The Hospitality – Hotel Operations Management program at this college offers students a choice between Canadian or international placements for a 14-week industry externship during their fourth semester. This practical experience enhances students' knowledge and helps them build contacts within the industry. Graduates may find employment opportunities in hotels, restaurants, casinos, luxury retirement homes, cruise ships, convention centers, entertainment complexes, clubs, bed and breakfasts, catering companies, and conference services. Students may also be eligible to enter the Honours Bachelor of Business Administration (Hospitality) degree program at George Brown College as an advanced standing student, with a minimum grade point average of 2.7. The required courses for this program are not provided in the text.",", How does the practical experience enhance students' knowledge and help them build contacts within the industry?"
16,33a6a851-2306-4bb2-855d-6daef1c105f9," The Hospitality – Hotel Operations Management program at this college offers students a choice between Canadian or international placements for a 14-week industry externship during their fourth semester. This practical experience enhances students' knowledge and helps them build contacts within the industry. Graduates may find employment opportunities in hotels, restaurants, casinos, luxury retirement homes, cruise ships, convention centers, entertainment complexes, clubs, bed and breakfasts, catering companies, and conference services. Students may also be eligible to enter the Honours Bachelor of Business Administration (Hospitality) degree program at George Brown College as an advanced standing student, with a minimum grade point average of 2.7. The required courses for this program are not provided in the text.",", What types of organizations can graduates find employment opportunities in?"
17,33a6a851-2306-4bb2-855d-6daef1c105f9," The Hospitality – Hotel Operations Management program at this college offers students a choice between Canadian or international placements for a 14-week industry externship during their fourth semester. This practical experience enhances students' knowledge and helps them build contacts within the industry. Graduates may find employment opportunities in hotels, restaurants, casinos, luxury retirement homes, cruise ships, convention centers, entertainment complexes, clubs, bed and breakfasts, catering companies, and conference services. Students may also be eligible to enter the Honours Bachelor of Business Administration (Hospitality) degree program at George Brown College as an advanced standing student, with a minimum grade point average of 2.7. The required courses for this program are not provided in the text.",", Can students enter the Honours Bachelor of Business Administration (Hospitality) degree program as an advanced standing student?"
18,33a6a851-2306-4bb2-855d-6daef1c105f9," The Hospitality – Hotel Operations Management program at this college offers students a choice between Canadian or international placements for a 14-week industry externship during their fourth semester. This practical experience enhances students' knowledge and helps them build contacts within the industry. Graduates may find employment opportunities in hotels, restaurants, casinos, luxury retirement homes, cruise ships, convention centers, entertainment complexes, clubs, bed and breakfasts, catering companies, and conference services. Students may also be eligible to enter the Honours Bachelor of Business Administration (Hospitality) degree program at George Brown College as an advanced standing student, with a minimum grade point average of 2.7. The required courses for this program are not provided in the text.",", What is the minimum grade point average required to enter the Honours Bachelor of Business Administration (Hospitality) degree program?"
19,33a6a851-2306-4bb2-855d-6daef1c105f9," The Hospitality – Hotel Operations Management program at this college offers students a choice between Canadian or international placements for a 14-week industry externship during their fourth semester. This practical experience enhances students' knowledge and helps them build contacts within the industry. Graduates may find employment opportunities in hotels, restaurants, casinos, luxury retirement homes, cruise ships, convention centers, entertainment complexes, clubs, bed and breakfasts, catering companies, and conference services. Students may also be eligible to enter the Honours Bachelor of Business Administration (Hospitality) degree program at George Brown College as an advanced standing student, with a minimum grade point average of 2.7. The required courses for this program are not provided in the text.",?
20,1bcfd141-d8bb-4582-a59a-f046163d1d07," Extracted Information:

The text provides a list of required courses for semesters 1, 2, 3, and 4 in the Hospitality and Tourism Management program at the college. The courses are categorized under different subjects such as Host, HOSF, HRM, LAW, ACCT, GSCI, and GENED. Some courses have asterisks (*) indicating that they are seven-week courses or have an asterisk and a footnote ** meaning that students may be required to take them based on their placement test results but do not count towards graduation. The text also mentions that students may need to visit the Assessment Centre for more information about COMM 1000, an Introduction to College Communication course that does not count towards graduation and for which students will be charged extra. Additionally, the graduate of this program is expected to demonstrate certain abilities such as adopting a positive attitude to support industry and workplace culture.

List of Required Courses:

Semester 1:
- HOST 1085: Principles of Hospitality and Tourism Management
- HOSF 1171: Global Accommodation Industry
- HOST 1172: Introduction to Wines and Beverages
- HOST 1170: Introduction to Catering
- COMM 2000: Communicating Across Contexts
- MATH 1250: Introduction to Management Numeracy with Excel Applications
- HOST 1068: Smart Serve (online certificate)
- HOSF 1145: Sanitation (online certificate)
- HOSF 1146: Emergency First Aid/Heartsaver CPR (weekend course)

Semester 2:
- HOST 1174: Remarkable Restaurant Service – An Introduction to the Industry
- HOST 1043: Special Events Planning and Delivery
- HOST 1173: Hospitality Marketing and Social Media
- HOST 1160: Career Preparation
- HOST 1175: Global Tourism Geography*
- HRM 1015: Human Resources Management*
- LAW 1017: Introduction to Hospitality Law*
- ACCT 1048: Hospitality Accounting*
- GSCI 1035: Science of Sustainability

Semester 3:
- ACCT 2017: Managerial Accounting
- HOST 1150: Food and Beverage Cost Control
- HOST 1193: Strategic Revenue Management
- HOSF 1095: Front Office Operations
- HOST 2036: Housekeeping and Facilities Management
- HOST 1192: Retirement Community Management*
- HOST 1066: Mixology*
- GENED: General Education Elective

Semester 4:
- HOST 2084: Hotel Investment Capstone Project (online)
- HOST 2133: Industry Externship
- GENED: General Education Elective

Additional Information:
- Students may need to take COMM 1000 based on their placement test results.
- This course does not count towards graduation and students will be charged extra for it.
- The graduate is expected to demonstrate abilities such as adopting a positive attitude to support industry and workplace culture.",1. Which courses are included in Semester 1 of the Hospitality and Tourism Management program?
