,contextId,context,question
0,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",1. What are the six modules covered in Online Orientation at George Brown College?
1,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",", 
2. Where can students find the Resource Hub for Online Orientation?"
2,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",", 
3. Which college platforms will new students learn about during Online Orientation?"
3,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",", 
4. What administrative tasks can be completed during Pre-orientation days?"
4,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",", 
5. How can students register for Pre-orientation days and what is the requirement?"
5,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",", 
6. In addition to completing administrative tasks, what other activities are available during Pre-orientation days?"
6,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",", 
7. Where can students access resources to improve their math and English skills before starting class?"
7,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",", 
8. What tip sheets are provided to help students succeed at George Brown College?"
8,2163d2cf-b456-4052-97ea-4377d3d8cc73," * The text is aimed at new students of George Brown College.
* Online Orientation is available for new students to help them carry out practical and administrative tasks before the semester starts. It consists of 6 modules and a Resource Hub.
* Students can learn about college platforms used, Brightspace, and personal and academic strategies for online learning.
* Pre-orientation days are held a few weeks before each term begins where students can complete key administrative tasks, network with other students, and attend sessions to help them be successful at the college. Spaces are limited and advance registration is required.
* Students may need to brush up on their math and English skills before starting class and can access resources and tip sheets to help them succeed from the provided link.",?
9,367b4a8d-8fa3-4a53-bd6c-877ca719b433," The Assessment Centre and Tutoring & Learning Centre (TLC) offer resources and tip sheets to help students succeed, including assessment prep materials and tips for taking tests online. Students who require testing are encouraged to book early to secure time slots. For students with disabilities, George Brown's Accessible Learning Services provide academic supports and services. Students must register with the team to receive these services and can attend accessible orientation events. Additionally, there are workshops and videos available to help students navigate college life with disabilities. The contact email for information is [letstalk@georgebrown.ca](mailto:letstalk@georgebrown.ca). The phone number is 416-415-2000, with a TTY number of 1-877-515-5559. The website contains information subject to change without notice and should not be viewed as a representation or warranty.",What resources does the Assessment Centre provide for students?
