,contextId,context,question
0,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",1. Who are the leaders managing the George Brown College?
1,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 2. Where can I find contact information for the Finance Department's accounts receivable and accounts payable?"
2,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 3. What services does the Facilities Management Department offer?"
3,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 4. What are the health and safety guidelines for contractors at George Brown College?"
4,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 5. How can I contact George Brown College using their primary number and TTY number?"
5,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 6. What information can be accessed by signing up for updates on the college's website?"
6,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 7. What is a land acknowledgment and how can I learn more about it through the link provided?"
7,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 8. Where can I find the most current contact information for George Brown College?"
8,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",", 9. Who is responsible for verifying George Brown College fee requirements?"
9,0f446ac3-d5e6-4759-b351-cd52cdf18931," The George Brown College Administration plays a crucial role in managing various aspects of the college. Here are some factual details and departments extracted from the text:

1. Senior Management Profiles: Introduces you to the team of leaders managing the college.
2. Finance Department: Provides contact information for accounts receivable, accounts payable, financial services, financial planning, payroll, and bookstores.
3. Facilities Management Department: Offers a comprehensive range of services such as space planning, design, building construction, renovations, engineering, maintenance, energy management, housekeeping, furnishings, grounds maintenance, transportation, and operates/maintains buildings at St. James Campus, Casa Loma Campus, Toronto Metropolitan University Campus, and Waterfront Campus.
4. Health and safety guidelines for contractors: Ensures safety of everyone involved in college construction projects.
5. Contact Information: 416-415-2000 (primary number), TTY: 1-877-515-5559, ask.george@georgebrown.ca, and Social Media Hub links are provided.
6. Application deadlines, college news, upcoming events, tours, and more: Can be accessed by signing up for updates.
7. Land acknowledgment: Learn more about it through the link provided.
8. Contact details for George Brown College are subject to change without notice.
9. Students are responsible for verifying George Brown College fee requirements.",?
