,contextId,context,question
0,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",What is the name of this technical program?
1,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",", What is the code for the Heating, Refrigeration, and Air Conditioning Technician program?"
2,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",", In how many semesters does this Ontario College Diploma program last?"
3,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",", When can students start this program (months)?"
4,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",. How much does a domestic student pay for tuition?
5,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",", How much does an international student pay for tuition?"
6,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",Where is the Casa Loma Campus located?
7,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",", What are some related programs to this Heating, Refrigeration, and Air Conditioning Technician program?"
8,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",. Is there any scholarship opportunity available for domestic students in this program?
9,ad0f39a5-c681-4e7b-bd33-05cd52dd7ef9," Program Name: Heating, Refrigeration, and Air Conditioning Technician
Code: T160
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $3,964.00
International Tuition: $18,001.00
Program Location: Casa Loma Campus
Related Programs: Heating, Refrigeration, and Air Conditioning Technology (T162), Electrical Techniques (T167), Plumbing Techniques (T165)

Note: The text indicates that domestic students may be eligible for a $40,000 scholarship but it does not provide further details. Therefore, this information is not included in the extracted data.",(No further details were given in the text.)?
