,contextId,context,question
0,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",1. What are the tutoring services called at George Brown College?
1,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
2. Is it possible to attend TLC sessions in person or online?"
2,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
3. How can one register for TLC sessions at George Brown College?"
3,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
4. What credentials are required for registration at TLC?"
4,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
5. Which subjects is it important to book tutors for in math and accounting?"
5,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
6. What materials should users bring to the TLC sessions?"
6,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
7. How can appointments be booked at TLC?"
7,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
8. What documents need to be uploaded prior to appointment?"
8,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
9. What contact information is provided for the TLC services?"
9,a2898772-9773-46ce-8f96-11ac9eb5a31e," The Text provides information about the TLC ( tutoring services) at George Brown College, which is open for both in-person and online tutoring sessions. To use these services, one needs to register with their booking program using their GBC credentials. After registration, users can book appointments with specific tutors based on their requirements, especially important for math and accounting appointments. Users are advised to bring materials like assignments, instructions/rubrics, class notes, etc., to the sessions, which can be booked online and documents uploaded prior to appointment. The text also provides contact information, including a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and links to their social media hub. The text also mentions that the information on the website is subject to change without notice.",", 
10. Which number is the phone number for TLC services?"
