,contextId,context,question
0,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",What is the name of this fashion design program?
1,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", What is the code for Fashion Techniques and Design program?"
2,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", What type of credential will I receive after completing this program?"
3,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", How long does it take to complete this program?"
4,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", In which months can I start this program?"
5,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", What is the domestic tuition fee for this program?"
6,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", What is the international tuition fee for this program?"
7,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", Where is this program located?"
8,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", How is the study method for this program?"
9,b52600f3-bb93-4bce-b821-586e8834f44e," Program Name: Fashion Techniques and Design
Code: F113
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,596.00 *
International Tuition: $18,322.00 **
Location: Casa Loma Campus
Method of Study: Full-time
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Program Type: Women's wear program
Core Subjects: Technical illustration, pattern making, pattern grading, clothing construction, textiles, technical specifications, history of costume.
Electives: Allows students to select specific related subject areas.
Semester 1, 3 (Fall 2023) and Semester 1, 2, 4 (Winter 2024): On Campus delivery.

* Domestic tuition fee may vary based on additional fees and other factors.
** International tuition fee may vary based on additional fees and living expenses.",", Which centre and school offers this Fashion & Jewellery program?"
