,contextId,context,question
0,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",1. What accessibility features does George Brown College require for content creation?
1,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",",
2. How can closed captioning benefit individuals with hearing impairments?"
2,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",",
3. What is described video and when should it be used?"
3,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",",
4. Where can live captioning be provided?"
4,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",",
5. What software can be used to make content accessible for blind or visually impaired individuals?"
5,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",",
6. What is the role of a transcription in making audio content accessible?"
6,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",",
7. How can one request content captioning, transcription, or described video from George Brown College?"
7,0b03c72b-0a8c-4483-a732-5bcf317e4aa7," George Brown College is committed to creating an accessible and inclusive environment for all employees, students, and community members. The college requires that content be accessible to individuals who are Deaf, Deafblind, deafened or hard-of-hearing, as well as those with diverse learning abilities and whose primary language is not English.

To ensure compliance with the college's Accessible Media Policy in accordance with the Accessibility for Ontarians with Disabilities Act (AODA), content creators should consider the following accessibility features:

1. Closed captioning: Provide on-screen text of dialogues and other auditory information for audio-visual content. This option is typically indicated by the ""CC"" symbol within a video player.
2. Described video: Narrated voice-over descriptions of key visual elements necessary to provide context for individuals who are blind or visually impaired, such as setting, body language, and costumes.
3. Live captioning: Provide real-time captioning during live events, meetings, etc., using remote caption writers or captioners.
4. Screen readers: Use software that renders text displayed on a computer screen into a form that individuals who are blind or visually impaired can process, such as speech or braille output.
5. Transcription: Provide a verbatim transcript of the dialogue for content with an audio-only component, such as podcasts and audio recordings.

All video content, including recorded lectures, demos, webinars, etc., must be captioned*. This includes content found online via platforms such as YouTube or Vimeo. Auto-generated captions should be avoided since they are often inaccurate and not accessible to individuals who use screen readers.

Audio content, like podcasts, require a transcript in order to be accessible. To have content captioned, transcribed, or reviewed for accessibility, contact Anne Villahermosa, Accessible Media Coordinator at avillahe@georgebrown.ca. Described video is also available upon request; if you need described video for your video content, please contact Anne Villahermosa and provide a few weeks' notice.

*It is important to note that the asterisk (*) symbol in the text indicates that all video content must be captioned according to George Brown College's Accessible Media Policy.",?
8,1044d497-e734-49d2-a19a-9db64e7d743d," The George Brown College provides access to a collection of streamed media through platforms like Kanopy, LinkedIn Learning, and subject-specific content for various fields such as nursing, construction, dental hygiene, business, hospitality, art and design. Contacts should be made with the Liaison Librarian for assistance.

The college encourages planning all events with accessibility in mind, considering accommodation needs as part of the process to ensure inclusivity. Social media videos and podcasts must also be accessible, including content on platforms like Instagram, Facebook, YouTube, Twitter, LinkedIn, TikTok, IGTV, and paid ads.

Accessible Learning Services offer academic supports and services for George Brown students with disabilities. The Faculty Guide to Accommodations page contains more information. It's the shared responsibility of all members of the GBC community to ensure that all materials, including course outlines, reading lists, assignments, articles, tests, examinations, notes, marketing materials, and handouts, are available in accessible formats. All documents sent to the Web Publishing Team for inclusion on any George Brown web page must be accessible as well.

The Adobe Acrobat Pro software comes with accessibility features like the Accessibility Checker and the Make Accessible Wizard for creating fully accessible PDFs. These features are demonstrated in a video linked within the text. To make a PDF fully accessible, fill in document properties such as Title, Description, Author, and Keywords. Additionally, manual tagging of PDF content is required to ensure accessibility using assistive technologies like screen readers.",1. What platforms does George Brown College offer streamed media through?
9,1044d497-e734-49d2-a19a-9db64e7d743d," The George Brown College provides access to a collection of streamed media through platforms like Kanopy, LinkedIn Learning, and subject-specific content for various fields such as nursing, construction, dental hygiene, business, hospitality, art and design. Contacts should be made with the Liaison Librarian for assistance.

The college encourages planning all events with accessibility in mind, considering accommodation needs as part of the process to ensure inclusivity. Social media videos and podcasts must also be accessible, including content on platforms like Instagram, Facebook, YouTube, Twitter, LinkedIn, TikTok, IGTV, and paid ads.

Accessible Learning Services offer academic supports and services for George Brown students with disabilities. The Faculty Guide to Accommodations page contains more information. It's the shared responsibility of all members of the GBC community to ensure that all materials, including course outlines, reading lists, assignments, articles, tests, examinations, notes, marketing materials, and handouts, are available in accessible formats. All documents sent to the Web Publishing Team for inclusion on any George Brown web page must be accessible as well.

The Adobe Acrobat Pro software comes with accessibility features like the Accessibility Checker and the Make Accessible Wizard for creating fully accessible PDFs. These features are demonstrated in a video linked within the text. To make a PDF fully accessible, fill in document properties such as Title, Description, Author, and Keywords. Additionally, manual tagging of PDF content is required to ensure accessibility using assistive technologies like screen readers.",", 
2. Who should contacts be made with for assistance with accessing media at George Brown College?"
