,contextId,context,question
0,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",What is the name of this continuing education program?
1,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",", What code should I use for this program?"
2,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",", What kind of credential will I receive upon completion?"
3,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",", How long does this part-time program last?"
4,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",", In which months can I start this program?"
5,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",", Where is the St. James Campus located?"
6,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",", What are the admission requirements for this program?"
7,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",", Which George Brown schools offer Continuing Education ESL Pathway programs?"
8,cd05cd67-aad5-40c3-bb8d-1754fc441d74," Program Name: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Code: R903
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: Must complete the program within three consecutive academic years.
Starting Months: January, May
Location: St. James Campus
Admission Requirements: Completion of this program eliminates the need to write TOEFL, IELTS or George Brown's English Admissions Assessment for any of George Brown's full-time Ontario College Certificate, Diploma or Postgraduate Certificate programs (except for those with a co-op component).
Program Type: Continuing Education ESL Pathway to George Brown College Certificates and Diplomas
Centre: Preparatory & Liberal Studies
School: English as a Second Language ESL",?
9,dd499222-5d81-42e1-b1bd-8fff526afc0f," The George Brown College's Admissions Department recognizes the Continuing Education ESL Pathway program as the English Language requirement for any full-time (without co-op) Ontario College Certificate, Diploma, or Postgraduate Certificate program at George Brown College. This pathway is only valid within George Brown College and does not apply to programs with a co-op component.

The following mandatory courses need to be completed by Con Ed graduates to meet the minimum English language admission requirement:

1. ESL 9068 - ESL IIIB Advanced ($382.00)
2. ESL 9073 - Advanced Grammar and Composition Skills ($316.00)
3. ESL 9069 - Advanced Essay Writing ($316.00)
4. ESL 9078 - Academic Preparation for College/University Studies or ESL 9077 - IELTS Exam Preparation ($284.00)

Graduates of the Continuing Education ESL Pathway to George Brown College Certificates and Diplomas program will be considered and ranked among other applicants for their chosen programs, and they may need to fulfill any other academic requirements specific to those programs (e.g., math, science).

This information is subject to change without notice.",What programs at George Brown College require the completion of the Continuing Education ESL Pathway for full-time admission?
10,dd499222-5d81-42e1-b1bd-8fff526afc0f," The George Brown College's Admissions Department recognizes the Continuing Education ESL Pathway program as the English Language requirement for any full-time (without co-op) Ontario College Certificate, Diploma, or Postgraduate Certificate program at George Brown College. This pathway is only valid within George Brown College and does not apply to programs with a co-op component.

The following mandatory courses need to be completed by Con Ed graduates to meet the minimum English language admission requirement:

1. ESL 9068 - ESL IIIB Advanced ($382.00)
2. ESL 9073 - Advanced Grammar and Composition Skills ($316.00)
3. ESL 9069 - Advanced Essay Writing ($316.00)
4. ESL 9078 - Academic Preparation for College/University Studies or ESL 9077 - IELTS Exam Preparation ($284.00)

Graduates of the Continuing Education ESL Pathway to George Brown College Certificates and Diplomas program will be considered and ranked among other applicants for their chosen programs, and they may need to fulfill any other academic requirements specific to those programs (e.g., math, science).

This information is subject to change without notice.",", Which courses are mandatory for Con Ed graduates to meet the English language admission requirement?"
11,dd499222-5d81-42e1-b1bd-8fff526afc0f," The George Brown College's Admissions Department recognizes the Continuing Education ESL Pathway program as the English Language requirement for any full-time (without co-op) Ontario College Certificate, Diploma, or Postgraduate Certificate program at George Brown College. This pathway is only valid within George Brown College and does not apply to programs with a co-op component.

The following mandatory courses need to be completed by Con Ed graduates to meet the minimum English language admission requirement:

1. ESL 9068 - ESL IIIB Advanced ($382.00)
2. ESL 9073 - Advanced Grammar and Composition Skills ($316.00)
3. ESL 9069 - Advanced Essay Writing ($316.00)
4. ESL 9078 - Academic Preparation for College/University Studies or ESL 9077 - IELTS Exam Preparation ($284.00)

Graduates of the Continuing Education ESL Pathway to George Brown College Certificates and Diplomas program will be considered and ranked among other applicants for their chosen programs, and they may need to fulfill any other academic requirements specific to those programs (e.g., math, science).

This information is subject to change without notice.",", How much does it cost to take ESL 9068 - ESL IIIB Advanced?"
12,dd499222-5d81-42e1-b1bd-8fff526afc0f," The George Brown College's Admissions Department recognizes the Continuing Education ESL Pathway program as the English Language requirement for any full-time (without co-op) Ontario College Certificate, Diploma, or Postgraduate Certificate program at George Brown College. This pathway is only valid within George Brown College and does not apply to programs with a co-op component.

The following mandatory courses need to be completed by Con Ed graduates to meet the minimum English language admission requirement:

1. ESL 9068 - ESL IIIB Advanced ($382.00)
2. ESL 9073 - Advanced Grammar and Composition Skills ($316.00)
3. ESL 9069 - Advanced Essay Writing ($316.00)
4. ESL 9078 - Academic Preparation for College/University Studies or ESL 9077 - IELTS Exam Preparation ($284.00)

Graduates of the Continuing Education ESL Pathway to George Brown College Certificates and Diplomas program will be considered and ranked among other applicants for their chosen programs, and they may need to fulfill any other academic requirements specific to those programs (e.g., math, science).

This information is subject to change without notice.",", Is the Continuing Education ESL Pathway valid for programs with a co-op component at George Brown College?"
13,dd499222-5d81-42e1-b1bd-8fff526afc0f," The George Brown College's Admissions Department recognizes the Continuing Education ESL Pathway program as the English Language requirement for any full-time (without co-op) Ontario College Certificate, Diploma, or Postgraduate Certificate program at George Brown College. This pathway is only valid within George Brown College and does not apply to programs with a co-op component.

The following mandatory courses need to be completed by Con Ed graduates to meet the minimum English language admission requirement:

1. ESL 9068 - ESL IIIB Advanced ($382.00)
2. ESL 9073 - Advanced Grammar and Composition Skills ($316.00)
3. ESL 9069 - Advanced Essay Writing ($316.00)
4. ESL 9078 - Academic Preparation for College/University Studies or ESL 9077 - IELTS Exam Preparation ($284.00)

Graduates of the Continuing Education ESL Pathway to George Brown College Certificates and Diplomas program will be considered and ranked among other applicants for their chosen programs, and they may need to fulfill any other academic requirements specific to those programs (e.g., math, science).

This information is subject to change without notice.",", What is the name of the course for Academic Preparation for College/University Studies in the Continuing Education ESL Pathway program?"
