,contextId,context,question
0,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",What is the name of the program offered at George Brown College for the Deafblind & Intervenor (C158)?
1,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Can you provide more details about the content of the information sessions for this program?"
2,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What career options are available after graduation from this program?"
3,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Who can be contacted to register for an info session and what is their email address?"
4,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is there a previously recorded info session available online?"
5,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can individuals learn more about George Brown College's land acknowledgment?"
6,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can interested individuals sign up to receive updates from the college?"
7,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the contact number for George Brown College?"
8,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for George Brown College?"
9,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the email address for general inquiries at George Brown College?"
10,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can visitors find the college's social media hub?"
11,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is the information on the George Brown College website subject to change without notice?"
12,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can students verify George Brown College fee requirements?"
13,f7675c46-4ce6-4a9d-86d0-e9b56b960cb0," The Deafblind & Intervenor (C158) program is offered at George Brown College. There are information sessions available online to learn more about the program's content, career options upon graduation, and student life. Interested individuals can contact Cheryl Ramey, Program Co-ordinator, at cramey@georgebrown.ca to register for an info session. An previously recorded session is also available to watch online. The college's land acknowledgment can be learned more about on the website. Individuals can sign up to receive updates about application deadlines, college news, events, tours and more. The contact number for George Brown College is 416-415-2000 and TTY is 1-877-515-5559. The email address for general inquiries is ask.george@georgebrown.ca. The college's social media hub can be visited for further information. Please note that the information on the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",?
