,contextId,context,question
0,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",What is the name of the program for Dental Office Administration?
1,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", What is the code for the Dental Office Administration program?"
2,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", What type of credential will I receive after completing this program?"
3,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", How long does it take to complete the Dental Office Administration program?"
4,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", When can international students start this program?"
5,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", What is the domestic tuition fee for the Dental Office Administration program?"
6,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", What is the international tuition fee for the Dental Office Administration program?"
7,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", In what method of study is this program offered?"
8,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", Where is the Dental Office Administration program located?"
9,4b6fa23e-83db-458c-a434-fc9ee8ff72af," Program Name: Dental Office Administration
Code: S115
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $3,869.00
International Tuition: $17,480.00
Method of Study: Full-time
Location: Waterfront Campus
Experiential Learning: Field Education
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Not Available for domestic students, Not Available for international students
- Spring 2024: Not Available for both domestic and international students
Related Programs: Office Administration – Health Services (S135), Dental Assisting (Levels I and II) (S113), Dental Hygiene (S134)
Courses covered in the program: preparation and maintenance of client records, inventory systems, recall systems, appointment scheduling, dental insurance, accounting, computer literacy (including dental software), oro-facial anatomy, industry-specific terminology, basic clinical dentistry theory.
Practical Experience: opportunity to gain practical experience through exposure to the operation of WAVE Dental Clinic.",", Is there experiential learning involved in this program?"
