,contextId,context,question
0,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",What is the name of the program offered?
1,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",", Is B428 the code for this program?"
2,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",", What kind of credential will I receive after completing this program?"
3,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",", How long does it take to complete this Human Resources Management program?"
4,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",", In which starting months can I join this program?"
5,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",", What is the domestic tuition fee for this program?"
6,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",", Where is this program offered (online or on-campus)?"
7,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",Is experiential learning mandatory in this program?
8,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",What positions can one prepare for after completing this Human Resources Management program?
9,ebb581d2-0f9b-4e5f-b1a4-94d24b28880e," Program Name: Human Resources Management
Code: B428
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 12 months (2 semesters in-class, 1 semester work experience)
Starting Months: January, May, September
Domestic Tuition: $4,377.00 *
Location: Online
Experiential Learning: Work Experience (Co-op or Internship) Required.
Program Description: The Human Resources Management program integrates business theory and practical application to prepare students for various HR positions. It is offered as an online postgraduate program with a semester of real-world work experience.

* Please note that an asterisk (*) denotes unknown information that may change or require verification.",?
