,contextId,context,question
0,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",1. Which types of resources does ProQuest College Complete provide?
1,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",", Can students access ProQuest College Complete on-campus only or off-campus as well?"
2,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",", What is required to access ProQuest College Complete off-campus?"
3,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",2. Is Birkhauser Ebooks limited to on-campus use or can students access it off-campus?
4,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",", What type of resources does Birkhauser Ebooks provide?"
5,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.","3. Besides eBooks, what other types of resources does Books@OVID (OVID) offer?"
6,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",", Can students access Books@OVID both on and off campus?"
7,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",", What is the requirement to access Books@OVID off-campus?"
8,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",4. Is the Canadian Electronic Library restricted to on-campus use or can students access it off-campus as well?
9,66c99e6e-9384-4aec-b69b-e0ff48dfe1b6," The text provides information about the changes in the LLC Laptop Loan Policy at the college effective from December 18, 2023. It also mentions various eBook databases that students can access with their GBC ID and password for both on-campus and off-campus use. The following is a list of eBook databases mentioned in the text along with their types and access details:

1. ProQuest College Complete: Type - DICTIONARIES, E-BOOKS, ENCYCLOPEDIAS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
2. Birkhauser Ebooks: Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
3. Books@OVID (OVID): Type - E-BOOKS, Guidelines; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
4. Canadian Electronic Library (desLibris): Type - E-BOOKS; Access - ON & OFF CAMPUS: GBC ID & password required for off-campus use
5. CCOHS (Canadian Centre for Occupational Health and Safety) - Academic Support Program: Access Note - To view documents in the Legislation and Standards section, please contact the Library at 416-415-5000 ext.2004 for login and password details. Only a limited number of users can use the Legislation and Standards at the same time.

There is no mention of any specific program offered by the college in the given text.",", What type of resources does the Canadian Electronic Library provide?"
