,contextId,context,question
0,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",What is the name of this education program?
1,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", What code is associated with this Early Childhood Education program?"
2,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", what kind of credential will I receive after completing this program?"
3,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", How long does this Early Childhood Education program last?"
4,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", When can I start this program?"
5,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", What is the domestic tuition fee for this Early Childhood Education program?"
6,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", What is the international tuition fee for this Early Childhood Education program?"
7,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", Where is this Early Childhood Education program located?"
8,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", What type of experiential learning is included in this program?"
9,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", In which semesters does this program deliver on campus?"
10,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", Is there any tuition grant available for domestic students starting in September 2023?"
11,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",", Who are the funding partners for this Early Childhood Education opportunity?"
12,02ab2e92-f33f-401e-8581-6a2fb161cceb," Program Name: Early Childhood Education
Code: C130
Credential: Ontario College Diploma
Duration: 10 months plus a two-week orientation course
Starting Months: September
Domestic Tuition: $3,986.00*
International Tuition: $17,033.00*
Location: George Brown College at Toronto Metropolitan University Campus
Experiential Learning: Field Placement
Delivery: On Campus for Semesters 3 and 4 (Fall 2023 and Winter 2024)
Tuition Grant: $2,000 for domestic students starting in September 2023
Funding Partners: City of Toronto, Region of Durham, Region of Peel, Province of Ontario, and the Government of Canada.

*This opportunity is funded through the new Canada-Ontario Early Childhood Workforce Agreement.",?
13,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.","1. Is this $2,000 tuition grant available to international students as well in the Early Childhood Education (Fast-Track) program at George Brown College?"
14,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",",
2. What prerequisites does one need to have for applying to the Early Childhood Education (Fast-Track) program at George Brown College?"
15,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",",
3. What topics are covered in the classroom theory blocks of the Early Childhood Education (Fast-Track) program?"
16,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",",
4. In what age groups will students be working with children during their field placements in this program?"
17,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",",
5. Are there any specific settings where students must complete their field placements in the Early Childhood Education (Fast-Track) program?"
18,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",",
6. Is proof of full vaccination against COVID-19 mandatory for all clinical or work placement partners in this program?"
19,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",7. How many weeks is each field placement in the Early Childhood Education (Fast-Track) program and when do they occur during the semesters?
20,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",8. Which organizations are funding this opportunity for students in the Early Childhood Education (Fast-Track) program at George Brown College?
21,c2cfd18f-140e-4ba7-a344-d3e02dab9759," * The Early Childhood Education (Fast-Track) program at George Brown College is offering a $2,000 tuition grant to domestic students starting in September 2023.
* The program is designed for graduates with a diploma or degree in a related field.
* Students will learn how to support children as they grow, studying the physical, cognitive, social and emotional development stages of infants (from six weeks), toddlers, preschoolers and school-aged children (to 12 years).
* The program approach includes alternating blocks of classroom theory with field practice.
* Students will complete a seven-week field placement in each semester, working with children of different age groups in a variety of settings.
* Some clinical or work placement partners may require students to show proof of full vaccination against COVID-19.
* The opportunity is funded in partnership with the City of Toronto, the Region of Durham, the Region of Peel, the Province of Ontario, and the Government of Canada under the new Canada-Ontario Early Childhood Workforce Agreement.",?
22,f1433e0f-712a-430c-8df7-fb3bb3909bf2," The text is about an Early Childhood Education (ECE) program offered by George Brown College. The program provides opportunities for students to work with children of different age groups in various settings through field placements. George Brown operates Ontario's largest network of college-run lab school child care centres, serving over 1,100 children and their families each year. Graduates of the ECE program can find employment in various settings like child care centres, early years centres, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, therapeutic nursery programs, and in-home care. Successful completion of the program makes students eligible for entrance to Ontario's College of Early Childhood Educators as a Registered Early Childhood Educator. Students with a GPA of 2.5 or higher can apply to complete the bridge courses for entry into the third year of George Brown's Honours Bachelor of Early Childhood Leadership (Degree Completion) program, and their diploma will give them credit toward degree programs at other institutions.

Required courses in Semester 3 include: ECE 1069 - Health, Safety & Nutrition; ECE 2048 - Policy, Advocacy and Legislation; ECE 2049 - Inclusion in Early Childhood; ECE 1080 - Professional Development Workshop 2; ECE 2053 - Curriculum Theory; ECE 2056 - Creative Curriculum; and ECE 1183 - Integrated Sem.",What is the name of the Early Childhood Education program offered by George Brown College?
23,f1433e0f-712a-430c-8df7-fb3bb3909bf2," The text is about an Early Childhood Education (ECE) program offered by George Brown College. The program provides opportunities for students to work with children of different age groups in various settings through field placements. George Brown operates Ontario's largest network of college-run lab school child care centres, serving over 1,100 children and their families each year. Graduates of the ECE program can find employment in various settings like child care centres, early years centres, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, therapeutic nursery programs, and in-home care. Successful completion of the program makes students eligible for entrance to Ontario's College of Early Childhood Educators as a Registered Early Childhood Educator. Students with a GPA of 2.5 or higher can apply to complete the bridge courses for entry into the third year of George Brown's Honours Bachelor of Early Childhood Leadership (Degree Completion) program, and their diploma will give them credit toward degree programs at other institutions.

Required courses in Semester 3 include: ECE 1069 - Health, Safety & Nutrition; ECE 2048 - Policy, Advocacy and Legislation; ECE 2049 - Inclusion in Early Childhood; ECE 1080 - Professional Development Workshop 2; ECE 2053 - Curriculum Theory; ECE 2056 - Creative Curriculum; and ECE 1183 - Integrated Sem.",", Where can students gain field placement experience in this program?"
24,f1433e0f-712a-430c-8df7-fb3bb3909bf2," The text is about an Early Childhood Education (ECE) program offered by George Brown College. The program provides opportunities for students to work with children of different age groups in various settings through field placements. George Brown operates Ontario's largest network of college-run lab school child care centres, serving over 1,100 children and their families each year. Graduates of the ECE program can find employment in various settings like child care centres, early years centres, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, therapeutic nursery programs, and in-home care. Successful completion of the program makes students eligible for entrance to Ontario's College of Early Childhood Educators as a Registered Early Childhood Educator. Students with a GPA of 2.5 or higher can apply to complete the bridge courses for entry into the third year of George Brown's Honours Bachelor of Early Childhood Leadership (Degree Completion) program, and their diploma will give them credit toward degree programs at other institutions.

Required courses in Semester 3 include: ECE 1069 - Health, Safety & Nutrition; ECE 2048 - Policy, Advocacy and Legislation; ECE 2049 - Inclusion in Early Childhood; ECE 1080 - Professional Development Workshop 2; ECE 2053 - Curriculum Theory; ECE 2056 - Creative Curriculum; and ECE 1183 - Integrated Sem.",", How many children and their families does George Brown serve each year through its lab school child care centres?"
