,contextId,context,question
0,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",1. Where can Centre for Business advanced diploma students with no work experience term apply for the Field Education Course (BUS 1067)?
1,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the approval process for jobs related to field of study in this course?"
2,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",",
2. How many hours per week should students work for this course during the semester?"
3,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is this course available in all three semesters every year?"
4,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",",
3. Where can students find application packages for this Field Education Course (BUS 1067)?"
5,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the contact information for Centre for Business Office?"
6,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",",
4. Who is the email address of the Course Coordinator for this course?"
7,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Does this course have any class time or exams?"
8,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",",
5. What types of reports and evaluation form are required to be completed by students at the end of semester?"
9,b5dfc187-053d-4a85-9819-b53d18aa8747," The Field Education Course (BUS 1067) is a Business elective course for Centre for Business advanced diploma students who do not have a work experience term in their program of study. Students can find jobs related to their field of study, which must be approved by the Course Coordinator. This course requires students to work at least 8 hours per week during the semester and is available in all three semesters every year. To apply for this course, students should visit the Centre for Business office and fill out an application package. The contact information for the Centre for Business Office is located at 200 King Street East, SJA Building (room 313A) and 290 Adelaide Street East, SJC Building (room 103). The Course Coordinator's email is jli@georgebrown.ca. This course has no class time or exams and students are required to complete reports and an evaluation form by the end of the semester. Students can earn a Business elective credit upon successful completion of this course (pass or fail). If you have any questions, please contact Joshua Li at jli@gebeonw.ca. This opportunity is available for students in all three semesters, Winter, Spring/Summer, and Fall. To learn more about other possibilities to gain practical work experience or the college's land acknowledgment, sign up on the website. The application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up on the website as well. The contact number for George Brown College is 416-415-2000, and TTY: 1-877-515-5559. For any inquiries, students can email ask.george@georgebrown.ca or visit the Social Media Hub. The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Can students earn a Business elective credit upon successful completion (pass or fail)?"
