,contextId,context,question
0,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",What is the name of the one-year certificate program?
1,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",", What skills does this program help develop?"
2,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",", In what fields can students explore subjects in this program?"
3,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",", Is it possible for students with good GPA to transfer into a two-year diploma program after completing this, Where is this program located?"
4,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",What starting months are available for domestic and international students in the fall and winter semesters?
5,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",", What is the tuition fee for domestic students and how much do international students pay?"
6,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",Is the spring semester available for both domestic and international students?
7,a0f2231a-00bb-4a86-8b10-40ca9429b5bd," Program Name: General Arts and Science – One-Year (R104)
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,804.00
International Tuition: $17,522.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Program Overview: A one-year certificate program designed to develop skills in critical thinking, oral and written communications, career development, and explore subjects within humanities, social sciences, natural sciences, and science. Students who meet GPA requirements may transfer into the two-year (R101) diploma program, which has established pathways to various universities.
Location: St. James Campus",?
8,1d1d12e6-f939-4274-9489-e5b879e6340b," The text provides information about a one-year (two semesters) certificate program and a two-year (four semesters) General Arts and Science diploma program offered at the college. Students can develop skills in critical thinking, oral and written communications, and career development throughout these programs. They may use the education to qualify for admission to various college and university programs or enter the workforce directly.

The one-year certificate program includes courses such as COMM 2000 - Communicating Across Contexts, GSCI 1024 - Environmental Science, HUMN 1111 - Critical Thinking: A Reasoning Experience, MATH 1034 - Mathematics for General Arts & Science, and SSCI 1011 - Learning. Students who meet the grade point average (GPA) requirements could be eligible for exemptions or advanced standing in other college programs.

After completing one year of full-time studies, students who meet the GPA requirements can apply for admission to many university liberal arts and humanities programs. They may also qualify for entry into George Brown's degree programs in Business, Hospitality and Technology if they meet specific requirements.

EXTRACTED INFORMATION:
- The program offers a one-year (two semesters) certificate and a two-year (four semesters) General Arts and Science diploma.
- Students can develop skills in critical thinking, oral and written communications, and career development.
- The one-year certificate program includes courses like COMM 2000, GSCI 1024, HUMN 1111, MATH 1034, and SSCI 1011.
- Students may use their education to qualify for admission to various college and university programs or enter the workforce directly.
- After one year of full-time studies, students who meet the GPA requirements can apply for admission to many university liberal arts and humanities programs and George Brown's degree programs in Business, Hospitality and Technology.",1. What is the duration of the certificate program at the college?
9,1d1d12e6-f939-4274-9489-e5b879e6340b," The text provides information about a one-year (two semesters) certificate program and a two-year (four semesters) General Arts and Science diploma program offered at the college. Students can develop skills in critical thinking, oral and written communications, and career development throughout these programs. They may use the education to qualify for admission to various college and university programs or enter the workforce directly.

The one-year certificate program includes courses such as COMM 2000 - Communicating Across Contexts, GSCI 1024 - Environmental Science, HUMN 1111 - Critical Thinking: A Reasoning Experience, MATH 1034 - Mathematics for General Arts & Science, and SSCI 1011 - Learning. Students who meet the grade point average (GPA) requirements could be eligible for exemptions or advanced standing in other college programs.

After completing one year of full-time studies, students who meet the GPA requirements can apply for admission to many university liberal arts and humanities programs. They may also qualify for entry into George Brown's degree programs in Business, Hospitality and Technology if they meet specific requirements.

EXTRACTED INFORMATION:
- The program offers a one-year (two semesters) certificate and a two-year (four semesters) General Arts and Science diploma.
- Students can develop skills in critical thinking, oral and written communications, and career development.
- The one-year certificate program includes courses like COMM 2000, GSCI 1024, HUMN 1111, MATH 1034, and SSCI 1011.
- Students may use their education to qualify for admission to various college and university programs or enter the workforce directly.
- After one year of full-time studies, students who meet the GPA requirements can apply for admission to many university liberal arts and humanities programs and George Brown's degree programs in Business, Hospitality and Technology.",", 
2. How many semesters does it take to complete the General Arts and Science diploma program?"
