,contextId,context,question
0,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",What is the name of this theater arts performance program?
1,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", What type of credential will I receive after completing this program?"
2,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", How long does it take to finish this program?"
3,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", When can students start this program?"
4,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", How much does it cost for Canadians to attend this program for one year?"
5,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", How much does it cost for international students to attend this program for one year?"
6,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", Where is the training for this program located?"
7,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", What is the focus of this intensive actor training program?"
8,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", What should students expect in terms of professionalism and group work?"
9,9b0be7e7-a0cd-4366-a019-47829f6b2fd4," Program Name: Theatre Arts – Performance
Code: P104
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: September
Domestic Tuition: $5,451.00 *
International Tuition: $19,280.00 **
Program Location: Young Centre for the Performing Arts in Toronto’s Distillery District
Program Overview: Intensive training program to become a professional actor with industry professionals as instructors.
Disclaimer: Includes expectations of professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure.

* Domestic tuition fee for 1 year
** International tuition fee for 1 year",", Are there any expectations around intimacy between actors?"
