,contextId,context,question
0,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)",What is the name of this business administration honors program in hospitality?
1,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)",", What is the code for this HBA program?"
2,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., What kind of credential will students receive upon completion?"
3,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., How long does it take to finish this full-time program?"
4,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., In which months can students start this hospitality degree?"
5,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., How much does a domestic student pay for tuition per year?"
6,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., How much does an international student pay for tuition per year?"
7,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., Which campus is the Hospitality & Culinary Arts center located at?"
8,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., What type of experiential learning is included in this program?"
9,21cb65d3-a713-4d2a-be9f-8d6cc8b45824," Program Name: Honours Bachelor of Business Administration (Hospitality)
Code: H311
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters plus 2 co-op terms)
Starting Months: September
Domestic Tuition: $9,118.00 * † ‡
International Tuition: $21,138.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Experiential Learning: Co-op (Paid)
Program Overview: Eligible for a $1,000 entrance scholarship. Prepares students for managerial, supervisory and administrative positions in the hospitality industry by teaching technical skills related to operational processes, finance, human resources, marketing, facilities, risk management, corporate social responsibility and sustainability.
Program Availability: Fall 2024 (Open for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Event Planning (H141)","., Where can students find information about entrance scholarships?"
