,contextId,context,question
0,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",What is the name of this program?
1,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", What is the code for this Community Worker program?"
2,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", What type of credential will I get after completing this program?"
3,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", How long does it take to complete this full-time program?"
4,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", When can international students start this program?"
5,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", How much does domestic tuition cost for this program?"
6,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", What's the international tuition fee for this Community Worker program?"
7,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", Where is this program located?"
8,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", Is this program available in fall 2024 for international students?"
9,9800f6f8-2dd1-470e-b409-cb92bcc1c676," Program Name: Community Worker
Code: C101
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $3,773.00
International Tuition: $17,905.00
Location: St. James Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Not Available (Domestic & International)
- Spring 2025: Not Available (Domestic & International)
Related Programs: Social Service Worker (C119), Social Service Worker (Accelerated) (C135), Child and Youth Care (C133)
Program Description: Prepares students to work for progressive social change with organizations, communities, and individuals across various issues such as poverty, housing, legal rights, discrimination, food justice, immigration, and refugee settlement.
Approved Education Program by: Ontario College of Social Workers and Social Service Workers (OCSWSSW)
Graduates may apply to receive the additional designation of RSSW (Registered Social Service Worker), with extra fees applying.",", Is it possible to apply for this program in spring 2025 (domestic & international)?"
