,contextId,context,question
0,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",What is the name of the program called?
1,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", What code is associated with this program?"
2,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", What kind of credential will be earned upon completion?"
3,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", How long does this program last?"
4,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", In what months can one start this program?"
5,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", How much does it cost for domestic students to attend?"
6,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", What's the tuition fee for international students?"
7,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", Where is the program located?"
8,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", Which related programs are available?"
9,290a7701-4b57-4784-b762-4c8328247653," Program Name: Computer Systems Technician
Code: T141
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $4,302.00
International Tuition: $18,350.00
Program Location: Casa Loma Campus
Related Programs: Computer Systems Technology (T147), Computer Programming and Analysis (T177), Cyber Security (Postgraduate) (T433)
Courses: Not specified in the given text.
Program Description: The Computer Systems Technician program provides a broad and in-depth technical base through courses in system support, network administration, and web technologies. Students will have strong administration, troubleshooting, and design skills upon graduation. The IT sector is growing in Toronto and has reported skills shortages; graduates of this program are prepared to write several industry certification exams and fulfill the demand for skilled employees in this field.
Industry Partnership: The college supports over 35 other Cisco Networking Academies, is one of only a few academies with Instructor Trainer status, and has won the Premier Partner status for two years in a row for contributions to student and instructor success.",", What skills will students acquire in this program?"
