,contextId,context,question
0,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",1. What actions are taken during a Perimeter Lockdown at George Brown College?
1,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
2. Who are the persons authorized to give direction during a Lockdown?"
2,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
3. What should faculty and staff do in their classrooms and offices during a lockdown?"
3,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
4. What should individuals not do during a lockdown at George Brown College?"
4,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
5. Where can individuals find information about George Brown College's land acknowledgment?"
5,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
6. How can individuals sign up for college news and updates?"
6,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
7. What are the contact details for George Brown College during a lockdown emergency?"
7,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
8. Who should individuals contact if they witness a violent situation at George Brown College?"
8,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
9. Is the information on George Brown College's website guaranteed not to change during a lockdown?"
9,b80f29cb-f813-47b2-a00e-7044ceb54488," During a Perimeter Lockdown, authorized personnel will ask individuals to Shelter in Place and maintain building containment while permitting movement within a building. This action is taken when an event occurs outside of the building that is deemed unsafe for building occupants. Only persons authorized by George Brown College are permitted to enter the building during a Perimeter Lockdown.

During a Lockdown, extreme actions will be taken by the college to ensure safety for students, faculty, staff, and visitors. Direction will be given from Campus Security, Public Safety and Security Division, ERT members, and Toronto Police Services. Faculty/staff are instructed to close and secure doors to their classrooms and offices, cover window openings if possible, shut off lights, lie on the floor, and stay away from windows. During a lockdown, individuals should not leave the room, answer the door, or allow anyone to enter or leave the premises.

If an individual is involved in or witnesses a violent situation, they are instructed to learn more about George Brown College's land acknowledgment, sign up for college news and updates, contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", 
10. Where can individuals verify the fee requirements for George Brown College?"
