,contextId,context,question
0,6af2efe0-488f-4bbc-9fca-d4efcb5165f6," The Honours Bachelor of Interpretation (American Sign Language-English) degree program at George Brown College is a four-year program. Students in their fourth year run and participate in a volunteer student interpreting service for low-risk social events. This service, previously known as the GBC Student Referral Service, provides access to more opportunities for students to practice their interpreting skills in authentic contexts. Students accept approved requests for volunteer interpreters and assign students to interpret requests. All requests must be approved by faculty in the program.

The service does not accept assignments where funding is available for professional interpreting services, nor for assignments that are beyond the scope and abilities of student interpreters or potentially harmful to students and consumers. Some agencies that typically pay for the service are listed, and requests from these agencies will not be accepted.

To request student interpreters, please email gbcvsis@gmail.com with the date and time of the event, location, nature/topic, and number of participants. There is no guarantee that students are available, and two student interpreters will always be sent to the assignment. Students do not accept payment for their work; instead, feedback forms are requested in lieu of payment.",What is the duration of the Honours Bachelor of Interpretation (American Sign Language-English) degree program at George Brown College?
1,6af2efe0-488f-4bbc-9fca-d4efcb5165f6," The Honours Bachelor of Interpretation (American Sign Language-English) degree program at George Brown College is a four-year program. Students in their fourth year run and participate in a volunteer student interpreting service for low-risk social events. This service, previously known as the GBC Student Referral Service, provides access to more opportunities for students to practice their interpreting skills in authentic contexts. Students accept approved requests for volunteer interpreters and assign students to interpret requests. All requests must be approved by faculty in the program.

The service does not accept assignments where funding is available for professional interpreting services, nor for assignments that are beyond the scope and abilities of student interpreters or potentially harmful to students and consumers. Some agencies that typically pay for the service are listed, and requests from these agencies will not be accepted.

To request student interpreters, please email gbcvsis@gmail.com with the date and time of the event, location, nature/topic, and number of participants. There is no guarantee that students are available, and two student interpreters will always be sent to the assignment. Students do not accept payment for their work; instead, feedback forms are requested in lieu of payment.",", Which agencies typically pay for the volunteer student interpreting service at George Brown College and are not accepted?"
2,6af2efe0-488f-4bbc-9fca-d4efcb5165f6," The Honours Bachelor of Interpretation (American Sign Language-English) degree program at George Brown College is a four-year program. Students in their fourth year run and participate in a volunteer student interpreting service for low-risk social events. This service, previously known as the GBC Student Referral Service, provides access to more opportunities for students to practice their interpreting skills in authentic contexts. Students accept approved requests for volunteer interpreters and assign students to interpret requests. All requests must be approved by faculty in the program.

The service does not accept assignments where funding is available for professional interpreting services, nor for assignments that are beyond the scope and abilities of student interpreters or potentially harmful to students and consumers. Some agencies that typically pay for the service are listed, and requests from these agencies will not be accepted.

To request student interpreters, please email gbcvsis@gmail.com with the date and time of the event, location, nature/topic, and number of participants. There is no guarantee that students are available, and two student interpreters will always be sent to the assignment. Students do not accept payment for their work; instead, feedback forms are requested in lieu of payment.",", How do students request volunteer interpreters from the service at George Brown College?"
3,6af2efe0-488f-4bbc-9fca-d4efcb5165f6," The Honours Bachelor of Interpretation (American Sign Language-English) degree program at George Brown College is a four-year program. Students in their fourth year run and participate in a volunteer student interpreting service for low-risk social events. This service, previously known as the GBC Student Referral Service, provides access to more opportunities for students to practice their interpreting skills in authentic contexts. Students accept approved requests for volunteer interpreters and assign students to interpret requests. All requests must be approved by faculty in the program.

The service does not accept assignments where funding is available for professional interpreting services, nor for assignments that are beyond the scope and abilities of student interpreters or potentially harmful to students and consumers. Some agencies that typically pay for the service are listed, and requests from these agencies will not be accepted.

To request student interpreters, please email gbcvsis@gmail.com with the date and time of the event, location, nature/topic, and number of participants. There is no guarantee that students are available, and two student interpreters will always be sent to the assignment. Students do not accept payment for their work; instead, feedback forms are requested in lieu of payment.",", Are there any limitations to the types of assignments that can be accepted by the volunteer student interpreting service?"
4,6af2efe0-488f-4bbc-9fca-d4efcb5165f6," The Honours Bachelor of Interpretation (American Sign Language-English) degree program at George Brown College is a four-year program. Students in their fourth year run and participate in a volunteer student interpreting service for low-risk social events. This service, previously known as the GBC Student Referral Service, provides access to more opportunities for students to practice their interpreting skills in authentic contexts. Students accept approved requests for volunteer interpreters and assign students to interpret requests. All requests must be approved by faculty in the program.

The service does not accept assignments where funding is available for professional interpreting services, nor for assignments that are beyond the scope and abilities of student interpreters or potentially harmful to students and consumers. Some agencies that typically pay for the service are listed, and requests from these agencies will not be accepted.

To request student interpreters, please email gbcvsis@gmail.com with the date and time of the event, location, nature/topic, and number of participants. There is no guarantee that students are available, and two student interpreters will always be sent to the assignment. Students do not accept payment for their work; instead, feedback forms are requested in lieu of payment.",", Do students receive payment for their work in the volunteer student interpreting service?"
5,6af2efe0-488f-4bbc-9fca-d4efcb5165f6," The Honours Bachelor of Interpretation (American Sign Language-English) degree program at George Brown College is a four-year program. Students in their fourth year run and participate in a volunteer student interpreting service for low-risk social events. This service, previously known as the GBC Student Referral Service, provides access to more opportunities for students to practice their interpreting skills in authentic contexts. Students accept approved requests for volunteer interpreters and assign students to interpret requests. All requests must be approved by faculty in the program.

The service does not accept assignments where funding is available for professional interpreting services, nor for assignments that are beyond the scope and abilities of student interpreters or potentially harmful to students and consumers. Some agencies that typically pay for the service are listed, and requests from these agencies will not be accepted.

To request student interpreters, please email gbcvsis@gmail.com with the date and time of the event, location, nature/topic, and number of participants. There is no guarantee that students are available, and two student interpreters will always be sent to the assignment. Students do not accept payment for their work; instead, feedback forms are requested in lieu of payment.",?
6,4f5c4395-f000-4193-a69f-586f5fd26143," Students at George Brown College do not receive payment for their work. Instead, feedback forms should be completed and emailed to Rhondda Reynolds (rreynolds@georgebrown.ca) with a minimum of five business days' notice. The nature of the request can be for in-person or online events, but recording of students interpreting is not allowed if it is an online event, and it should not be open to the public. To receive updates about application deadlines, college news, upcoming events, tours, and more, sign up now. Contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or ask questions at ask.george@georgedown.ca. Visit the Social Media Hub for more information. Please note that the information on this website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",1. Where should feedback forms regarding student work at George Brown College be sent?
7,4f5c4395-f000-4193-a69f-586f5fd26143," Students at George Brown College do not receive payment for their work. Instead, feedback forms should be completed and emailed to Rhondda Reynolds (rreynolds@georgebrown.ca) with a minimum of five business days' notice. The nature of the request can be for in-person or online events, but recording of students interpreting is not allowed if it is an online event, and it should not be open to the public. To receive updates about application deadlines, college news, upcoming events, tours, and more, sign up now. Contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or ask questions at ask.george@georgedown.ca. Visit the Social Media Hub for more information. Please note that the information on this website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",",
2. What is the email address to send feedback forms to?"
8,4f5c4395-f000-4193-a69f-586f5fd26143," Students at George Brown College do not receive payment for their work. Instead, feedback forms should be completed and emailed to Rhondda Reynolds (rreynolds@georgebrown.ca) with a minimum of five business days' notice. The nature of the request can be for in-person or online events, but recording of students interpreting is not allowed if it is an online event, and it should not be open to the public. To receive updates about application deadlines, college news, upcoming events, tours, and more, sign up now. Contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or ask questions at ask.george@georgedown.ca. Visit the Social Media Hub for more information. Please note that the information on this website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",",
3. How much notice is required before sending in feedback forms?"
9,4f5c4395-f000-4193-a69f-586f5fd26143," Students at George Brown College do not receive payment for their work. Instead, feedback forms should be completed and emailed to Rhondda Reynolds (rreynolds@georgebrown.ca) with a minimum of five business days' notice. The nature of the request can be for in-person or online events, but recording of students interpreting is not allowed if it is an online event, and it should not be open to the public. To receive updates about application deadlines, college news, upcoming events, tours, and more, sign up now. Contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or ask questions at ask.george@georgedown.ca. Visit the Social Media Hub for more information. Please note that the information on this website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",",
4. Can recording of students interpreting be allowed for online events?"
