,contextId,context,question
0,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",What is the name of this computer programming and analysis program?
1,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", What is the duration of this Ontario College Advanced Diploma program?"
2,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", In which starting months is this program available?"
3,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", How much does a domestic student pay for tuition in this program?"
4,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", What is the international student tuition fee for this program?"
5,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", Where is this program located?"
6,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", Is this program available during the spring semester 2025?"
7,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",", What are the related programs to Computer Programming and Analysis?"
8,1f2d5419-99f1-47de-8799-d6b0e07a83d9," Program Name: Computer Programming and Analysis
Code: T177
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,334.00
International Tuition: $18,383.00
Location: Casa Loma Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Computer Systems Technology (T147), Computer Systems Technician (T141)",?
9,1fdbb354-0b70-4c89-8e62-1ee1b4fbb33b," Program Information:
- The program offers advanced technical abilities with a focus on communication, teamwork, and client service skills.
- Students will learn about project-based and experiential learning, AI and machine-learning strategies and development, mobile application development, full-stack development, software development life cycle and methodologies, and database management.
- Changes to the program may occur and are made in consultation with the Program Advisory Committee.
- Required computer specifications: 16 GB RAM minimum, 256 GB SSD Hard Drive (500+ GB is optimal), Quad-core i7 2.4GHz or better, Video card (2GB RAM minimum/4GB RAM recommended), and a webcam.
- Career opportunities include database administration, systems analysis and design, consulting, application design and development, web application design and development, data architect (AI/ Machine Learning), full-stack developer, mobile application developer, and many others.
- Graduates may find systems development work for corporate clients and smaller contract companies as programmer analysts.
- Transfer credits are available towards further study to attain a degree.

Required Courses:
- Semester 1: COMP 1151 (IT Essentials), COMP 1236 (Fundamentals of Computing Logic), COMP 1234 (Introduction To Web Development), GSSC 1027 (Personal Finance), MATH 1162 (Mathematics for Computer Technology I), COMM 2000 (Communicating Across Contexts).
- Semester 2: COMP 1168 (Database Management), COMP 1202 (Object-Oriented Programming), COMP 1235 (Introduction To Full-Stack Development), COMP 3044 (Linux Essentials), MATH 1172 (Mathematics for Computer Technology II).

Note: Enrolling in January requires completion of semester 2 from May to August of the same year.",What are the communication and teamwork skills gained through this program?
