,contextId,context,question
0,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.","1. What is the role of The Office of Anti-Racism, Equity and Human Rights Services at George Brown College?"
1,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.","2. Which individuals does The Office of Anti-Racism, Equity and Human Rights Services assist at George Brown College?"
2,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.","3. What kind of issues does The Office of Anti-Racism, Equity and Human Rights Services help with at George Brown College?"
3,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.",4. In what ways does the Ontario Human Rights Code ensure equal rights and opportunities for everyone in the province?
4,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.",5. When was the Ontario Human Rights Code established?
5,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.",6. Who administers and enforces the Ontario Human Rights Code?
6,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.",7. Which groups are protected from discrimination based on various grounds according to the Ontario Human Rights Code?
7,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.",8. Who is covered by George Brown College's Prevention of Discrimination and Harassment Policy?
8,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.","9. What was agreed upon on December 10, 1948, that sets out basic human rights for all people?"
9,711883e2-3643-4912-9070-b486e9c44a86," The Office of Anti-Racism, Equity and Human Rights Services assists all students, staff, and administration at George Brown College. They provide advice, consultation, information, and educational forums related to discrimination and harassment issues, which are protected by the Ontario Human Rights Code and George Brown College's Prevention of Discrimination and Harassment Policy. The Ontario Human Rights Code is a provincial law that gives everyone equal rights and opportunities without discrimination based on various grounds such as race, color, sex, disability, and age. The Code was established in 1962, and the Ontario Human Rights Commission administers and enforces it. All students, staff, faculty, management, administrators, contractors, and visitors to George Brown College are covered by the college's Prevention of Discrimination and Harassment Policy. The Universal Declaration of Human Rights, agreed upon on December 10, 1948, sets out the basic rights and freedoms for all people. Violations of human rights still occur, which is why having a complaints process in place and ongoing Human Rights education is essential. The college's Code of Conduct outlines the minimal standards of personal conduct expected from all students, staff, faculty, administrators, managers, contractors, and visitors. Equity refers to fairness and principles of justice aimed at redressing inequalities in opportunity experienced by some students.",10. How does the college address violations of human rights?
