,contextId,context,question
0,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",1. When does registration for Partial Load assignments take place?
1,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
2. What is the email address for inquiries about the Partial Load Registry at George Brown College?"
2,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
3. How many hours of teaching contact can faculty use priority assignment for?"
3,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
4. What options are available for the number of weekly Partial Load hours faculty can register for?"
4,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
5. Who should faculty contact if they have any questions regarding the confirmation email received after registration?"
5,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
6. Where can faculty find the contact information for George Brown College?"
6,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
7. How can faculty access more information about the Partial Load Registry?"
7,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
8. Is the information on the website guaranteed not to change before the next academic year?"
8,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",",
9. Who are students responsible for verifying fee requirements with?"
9,a93eae93-5ef7-4d04-ad14-9d15332cf5db," * Partial Load faculty who have taught a specific course in a department or school can prioritize teaching that course again, as long as there hasn't been a substantial change in the course.
* Registration for priority consideration for Partial Load assignments in the next academic year takes place from January 1st to April 30th.
* Priority assignment cannot be used to teach more than 12 hours of teaching contact hours.
* To register, faculty need to click on the ""Register Now"" button and input their name, employee ID, and the number of weekly Partial Load hours they are interested in teaching (options: 9, 10, 11 or 12 hours).
* Faculty will receive a confirmation email after registration is complete, which will also confirm the courses they taught.
* For any questions regarding the Partial Load Registry, faculty can contact the Academic OPSEU Local Union office at [opseu556@georgebrown.ca](mailto:opseu556@georgebrown.ca) or [labourrelations@georgebrown.ca](mailto:labourrelations@georgebrown.ca).
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Visit the Social Media Hub for more information.
* Information on the website is subject to change without notice and should not be viewed as a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",?
