,contextId,context,question
0,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",What is the name of this commerce honours program?
1,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", What is the code for this Financial Services program?"
2,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", What kind of credential will I receive after completing this program?"
3,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", How long does it take to finish this Full-time program?"
4,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", In which months can I start this Honours Bachelor of Commerce (Financial Services) program?"
5,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", How much is the domestic tuition fee for this program?"
6,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", What is the international tuition fee for this program (note: are additional fees included)?"
7,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",Which centre and school offers this program?
8,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", Where is the St. James Campus located?"
9,aa3495f1-2992-4403-a0e5-7827914b59d7," Program Name: Honours Bachelor of Commerce (Financial Services)
Code: B302
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 4 years (8 semesters in-class plus 1 Co-op Work Term)
Starting Months: January, September
Domestic Tuition: $8,109.00 *
International Tuition: $20,916.00 **
Centre: Business
School: Accounting & Finance
Location: St. James Campus
Program Availability: Fall 2024 (Open for both Domestic and International students), Winter 2025 (Open for Domestic students, opens Apr 8, 2024 for International students), Spring 2025 (Not Available for either Domestice or International students)
Specializations: Accounting or Financial Planning
Entrance Scholarship: $1000

* Domestic tuition fee may be subject to change.
** International tuition fee may be subject to change and does not include additional fees such as health insurance, application fees, etc.",", Is this program available in Fall 2024 for both Domestic and International students, Winter 2025 for Domestic students and April 8, 2024 for International students, or only in Spring 2025?"
