,contextId,context,question
0,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",What is the name of this engineering technology program?
1,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", What is the code for the Electromechanical Engineering Technology - Power and Control program?"
2,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", What kind of credential will I receive after completing this program?"
3,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", How long does it take to complete this advanced diploma program?"
4,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", In which months can I start this program?"
5,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", What is the domestic tuition fee for the 2023-2024 academic year?"
6,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", What is the international tuition fee for the 2023-2024 academic year?"
7,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", Where is this Casa Loma Campus located?"
8,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", What topics does the curriculum in the first two years cover?"
9,b5f7c3df-c716-4f2a-a5f7-20dd84d6dcfe," Program Name: Electromechanical Engineering Technology - Power and Control
Code: T182
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $6,115.00 *
International Tuition: $17,837.00 **
Location: Casa Loma Campus
Program Description: Gain expertise in advanced power and control systems. The program was developed in collaboration with Toronto Hydro.
Graduates of this program are able to install, maintain, operate and troubleshoot increasingly sophisticated and automated equipment.
First two years curriculum: students gain experience with both power and control systems.
(* Domestic tuition is for the 2023-2024 academic year)
(** International tuition is for the 2023-2024 academic year)",", With whom was this program developed in collaboration?"
