,contextId,context,question
0,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",What is the name of the advanced diploma program?
1,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", What is the code for the Computer Systems Technology program?"
2,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", How long does the Computer Systems Technology program last?"
3,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", In which starting months can I begin this program?"
4,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", What is the credential offered upon completion of this program?"
5,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", Where is this program located?"
6,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", What are the two optional specializations in the third year?"
7,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", What are some core courses included in this program through the VMWare IT Academy?"
8,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", What practices in Information Technology does the program cover?"
9,cbc6bf1f-8875-4f60-bf20-2f4db0f91c69," Program Name: Computer Systems Technology
Code: T187
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00 *
Location: Online
Program Description: The Computer Systems Technology online program offers two optional specializations in its third year - Networking and Systems. It includes core courses on infrastructure virtualization (through the VMWare IT Academy) and cloud computing, along with best practices in Information Technology. The program is fully online and allows students to study from home and access faculty members embedded in Toronto’s tech industry.
Specializations: Networking, Systems
Core Courses: Infrastructure virtualization (through the VMWare IT Academy), cloud computing, best practices in Information Technology.
Method of Study: Full-time
Delivery: Semester 1, 3 - Online (Fall 2023) and Semester 1, 2, 4 - Online (Winter 2024)
* Domestic tuition fee for the program.",", How long does each delivery semester last?"
