,contextId,context,question
0,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",What is the name of this program?
1,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", Is the Graphic Design program an advanced diploma?"
2,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", What is the method of study for Graphic Design?"
3,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", How long does it take to complete the Graphic Design program?"
4,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", In what months can I start the Graphic Design program?"
5,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", What is the domestic tuition fee for Graphic Design?"
6,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", What is the international tuition fee for Graphic Design?"
7,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", Where is this Graphic Design program located?"
8,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", Is the Graphic Design program available in the fall 2023 semester?"
9,3dc989af-b73f-4774-a288-dc56dfb69c1d," Program Name: Graphic Design
Code: G102
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,165.00 *
International Tuition: $17,751.00 **
Location: Waterfront Campus
Program Availability:
- Fall 2023: Closed (to domestic and international students)
- Winter 2024: Closed (to domestic and international students)
- Spring 2024: Not Available
Majors: Communication Design, Advertising Design
Design Electives: illustration, motion, interaction, web, book, environmental design
* Domestic tuition fee for the Graphic Design program.
** International tuition fee for the Graphic Design program.",", Is the Graphic Design program available in the winter 2024 semester?"
