,contextId,context,question
0,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",What is the name of the Bachelor's degree program?
1,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", What is the code for the BBA (Trades Management) Honours program?"
2,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", What credential will be earned upon completion of this program?"
3,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", How is the study method for this program delivered?"
4,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", How long does it take to complete this program (maximum duration)?"
5,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", In which months can students start this program?"
6,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", Which college collaborates with Algonquin College and Mohawk College on this program?"
7,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", What skills will students learn in this program?"
8,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", How does this program prepare graduates for their careers?"
9,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", Who should consider applying for the Electrician pathway of this program?"
10,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", Is this program available to international students?"
11,1bb7cdad-afbe-4e86-8e31-6eaab0673f78," Program Name: Bachelor of Business Administration (Trades Management) (Honours) (Pathway Electrician)
Code: B307
Credential: Honours Bachelor's Degree
Method of Study: Online
Duration: 5 semesters (up to 8 years allowed for completion)
Starting Months: January, May, September
Centre: Business
School: Management
Location: St. James Campus
Program Description: A tri-college collaboration between Algonquin College, George Brown College and Mohawk College. Prepares students with skills in business administration, management, accounting, project management, leadership, communication, and applied research competencies. Enables graduates to grow their own skilled trades business or take on greater responsibilities in current work environment, or pursue management careers in medium to large organizations.
Pathway: For graduates of the Electrician Certificate of Qualification. Receive credit for 8 courses and enter program in semester 4.
Availability: Open in Spring 2024 for domestic students (not available for international students).
Contact Email: business@georgebrown.ca",", Where can students take this program (location)?"
