,contextId,context,question
0,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",What is the name of this mechanical engineering technology program?
1,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", What code is associated with this program?"
2,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", What kind of credential will I receive after completing this program?"
3,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", How long does it take to complete this program?"
4,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", In what starting months can I apply for this program?"
5,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", How much does a domestic student pay in tuition for this program?"
6,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", How much does an international student pay in tuition for this program?"
7,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", In which centre is this program offered?"
8,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", Which school provides this mechanical engineering technology – design program?"
9,c81f8ba7-1a6a-4328-823d-b42b0312b887," Program Name: Mechanical Engineering Technology – Design
Code: T121
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,395.00
International Tuition: $17,781.00
Centre: Construction & Engineering Technologies
School: Mechanical Engineering Technologies
Location: Casa Loma Campus
Program Delivery: On campus and hybrid (Fall 2023)
Available Semesters for Application: Winter 2024 - Closed
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Technician – CNC and Precision Machining (T173), Electromechanical Engineering Technology – Building Automation (T171)",", Where is the Casa Loma Campus located?"
