,contextId,context,question
0,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",What is George Brown College known for in Canadian acting schools in 2021?
1,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", Where do Theatre Arts students at George Brown train and perform?"
2,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", How big is the Young Centre for the Performing Arts in Toronto's Distillery District?"
3,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", With whom is the Young Centre for the Performing Arts shared?"
4,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", In which year do Theatre Arts students perform at the Young Centre for Performing Arts?"
5,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", How can one sign up for auditions for George Brown’s Theatre Arts program?"
6,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", What are the contact details for George Brown’s Theatre Arts program inquiries?"
7,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", What email addresses can be used to contact George Brown’s Theatre Arts program?"
8,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", Is the information on the website subject to change without notice?"
9,91b1e6d5-512e-4019-92ad-5f4c1c9991da," George Brown College is one of the Top 20 Canadian Acting Schools in 2021. The Theatre Arts students train and perform at the Young Centre for the Performing Arts in Toronto's Distillery District. The facility is a performance, training, and outreach centre with a size of 44,000 square-feet. It is shared with Soulpepper Theatre. Theatre Arts students perform at the Young Centre for the Performing Arts in their third and final year.

Auditions for George Brown’s Theatre Arts program can be signed up for on the website. The contact details are 416-415-2000 and TTY: 1-877-515-5559, with emails at ask.george@georgebrown.ca. The information on the website is subject to change without notice.

The Young Centre for Performing Arts is back in-person for on-stage performances and the line-up for the 2023/2024 Season is available on the website. It is recommended to check regularly for updated production information and dates. The website also contains a section for land acknowledgment and offers opportunities to stay informed about application deadlines, college news, upcoming events, tours, and more by signing up.",", What is the line-up for the 2023/2024 Season at the Young Centre for Performing Arts available where?"
