,contextId,context,question
0,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",What is the name of this graduate certificate program?
1,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", What is the code for the Screenwriting & Narrative Design program?"
2,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", what kind of credential does this program offer?"
3,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", How long does it take to complete this program?"
4,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", When can students start this program?"
5,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", What is the domestic tuition fee for this program?"
6,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", What is the international tuition fee for this program?"
7,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", Where is the delivery mode for this program taking place in Fall 2023?"
8,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", Is the Winter 2024 delivery mode available?"
9,b2120c8b-efa4-4643-8c07-a547fd0207e2," Program Name: Screenwriting & Narrative Design
Code: P410
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: September
Domestic Tuition: $8,608.00
International Tuition: $26,423.00
Program Location: Online
Delivery Mode - Fall 2023: Online
Delivery Mode - Winter 2024: Suspended
Program Center: Arts, Design & Information Technology
Program School: Media & Performing Arts
Program Description: The three-semester Screenwriting & Narrative Design online graduate certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become screenwriters for the ever-evolving media field, as well as narrative designers for game and interactive storytelling worlds.
Note: International students cannot come to Canada for this program, are not eligible for a study permit, and graduates will not be eligible for a post-graduation work permit upon completion of this program.",", In which faculty does this program belong?"
