,contextId,context,question
0,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",1. Where can 2SLGBTQIA+ students at George Brown College sign up for focus groups?
1,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
2. How long does each focus group last?"
2,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
3. What is the requirement for registering for a focus group session?"
3,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
4. What is the minimum attendance needed to hold a focus group session?"
4,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
5. Where will the focus groups be held in relation to gender inclusive washrooms?"
5,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
6. What will participants receive upon completion of a focus group?"
6,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
7. Will meals be provided during in-person focus group gatherings?"
7,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
8. Who should contact for more information or access needs regarding the focus groups?"
8,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
9. How can students sign up for college news, updates, tours and more?"
9,1fc89207-f15e-4bcd-9ada-e0405d9ed376," The Office of Anti-Racism, Equity, and Human Rights Services (OAREHRS) at George Brown College is organizing focus groups for 2SLGBTQIA+ students to amplify their voices and experiences, promote inclusion, and build initiatives and policies. Each focus group will last for 2 hours and will include reflection, sharing, and brainstorming sessions. Students are required to pre-register through Eventbrite and confirm a minimum of 5 participants to hold a session. The focus groups will be held near gender inclusive washrooms and will maintain a safer space. Participants will receive a gift card upon completion and in-person gatherings will include a meal. Focus group dates and times can be found on Eventbrite, and for more information or access needs, students can contact diversity@georgebrown.ca. The spaces will only be open to members of the 2SLGBTQIA+ community and opening activities will center around creating and maintaining a safer space. Registration is required as sessions may be cancelled if minimum attendance is not met. For more information about the college, land acknowledgment, and updates, students can sign up on the website or contact ask.george@georgebrown.ca. The phone numbers for general inquiries and TTY are 416-415-2000 and 1-877-515-5559 respectively.

Key Information:
- Focus groups for 2SLGBTQIA+ students at George Brown College
- Each focus group lasts for 2 hours
- Students must pre-register through Eventbrite
- Minimum attendance of 5 participants required to hold a session
- Gender inclusive washrooms and safer spaces will be provided
- Participants will receive a gift card upon completion
- In-person gatherings include a meal
- Focus groups will only be open to members of the 2SLGBTQIA+ community
- Registration is required as sessions may be cancelled if minimum attendance is not met
- For more information or access needs, contact diversity@georgebrown.ca
- Sign up for college news, updates, tours and more on the website
- Contact ask.george@georgebrown.ca for more information
- Phone numbers: 416-415-2000 (general inquiries) and 1-877-515-5559 (TTY)",", 
10. What is the phone number for general inquiries about George Brown College?"
