,contextId,context,question
0,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",What is George Brown College's commitment to equal access and opportunity to education?
1,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",", Which laws does George Brown College comply with regarding accessibility?"
2,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",", How does George Brown College provide support services for students with disabilities?"
3,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",", What are some ways that George Brown College meets the Accessibility for Ontarians with Disabilities Act (AODA) standards?"
4,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",", Who can be contacted for accessibility concerns or inquiries at George Brown College?"
5,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",When did the AODA become law?
6,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",", When did the Customer Service Standards come into effect?"
7,6aa25077-de15-43c7-be54-5f21799278a3," George Brown College is committed to providing equal access and opportunity to education for students. The college offers support services and initiatives to achieve an inclusive and accessible community, in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Some of the ways GBC meets these standards include offering service disruption notifications and welcoming feedback regarding accessibility concerns. George Brown College's accessibility policies provide guidance on achieving barrier-free access for persons with disabilities who are working, learning or visiting at the college. The AODA became law on June 13, 2005, and the Customer Service Standards came into effect on January 1, 2008. For accessibility concerns or inquiries, please contact security at 416-415-4000 or aoda@georgebrown.ca.",?
8,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",1. Which act and regulation does George Brown College adhere to for accessibility?
9,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",", 2. What are the key principles of George Brown College's accessibility policies?"
10,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",", 3. How can individuals contact George Brown College regarding accessibility inquiries via phone?"
11,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",", 4. What is the TTY number for accessibility-related inquiries at George Brown College?"
12,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",", 5. Where can individuals send emails related to accessibility at George Brown College?"
13,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",", 6. Is there a social media hub available for accessibility information at George Brown College?"
14,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",", 7. Is the information on the George Brown College website subject to change without notice?"
15,f6ca1683-7e88-48d2-b621-f27e72e73b56," The text provides information about George Brown College's accessibility policies and contact details. Here are the factual information and entities extracted from the text:

- George Brown College
- Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11 and the O. Reg. 191/11: Integrated Accessibility Standards
- The key principles of dignity, independence, integration and equal opportunity
- AODA Accessibility Policies
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca
- Social Media Hub
- Information contained in the website is subject to change without notice
- Students are responsible for verifying George Brown College fee requirements.",", 8. Who are students responsible for verifying fee requirements at George Brown College?"
