,contextId,context,question
0,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",What is the method to register for the Pre-Business (A146) program info session?
1,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", When will I receive the link to join the online event?"
2,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can I ask questions about the program content and career options?"
3,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the phone number to contact George Brown College with inquiries?"
4,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for people with hearing impairments to contact George Brown College?"
5,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What email address should I use to contact George Brown College?"
6,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can I sign up to stay updated on application deadlines, college news, upcoming events, tours and more?"
7,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can I access further information about the event through social media?"
8,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is the information provided on the website subject to change without notice?"
9,5abe7d97-476a-43c2-ab71-82c0b32ab518," The Pre-Business (A146) program info session is an online event. Registration will result in receiving a link 48 hours prior. Questions about the program content, career options, and meeting professors and staff can be addressed at this event. Contact George Brown College with inquiries at 416-415-2000 or TTY: 1-877-515-5559, or via email at ask.george@georgebrown.ca. Stay updated on application deadlines, college news, upcoming events, tours, and more by signing up. Visit the social media hub for further information. Please note that the information provided in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the fee requirements for students at George Brown College?"
