,contextId,context,question
0,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",1. Which Centre for Business programs offer the opportunity for class projects?
1,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
2. What types of real industry projects are available through class projects?"
2,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
3. Can all Centre for Business students participate in class projects?"
3,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
4. When do class projects typically take place?"
4,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
5. How are student groups formed for class projects?"
5,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
6. In what ways do students benefit from working on class projects?"
6,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
7. Can you provide an example of a successful past class project and its objectives?"
7,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
8. What types of marketing campaigns did students create in the Strategic Marketing Management project?"
8,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",",
9. How did student presentations contribute to The Corner Place's business strategy?"
9,4cec9a5e-0946-48a1-a87c-7e98a849e28f," Extracted Information:

1. Centre for Business students have the opportunity to apply classroom learning to real industry projects through class projects.
2. Class projects are available to all Centre for Business students in all programs.
3. Class projects take place all year around.
4. Professors determine requirements and process for student group formation in class projects.
5. Students get an opportunity to work on real-world projects, build portfolios, and receive mentorship from professors and industry.
6. One past project involved Strategic Marketing Management for The Corner Place, a successful bar/restaurant in Downtown Toronto, with the objective of increasing overall revenue by 20%.
7. Students created multi-media marketing campaigns including print, PR, direct campaigns, and digital campaigns.
8. The project allowed students to collaborate and add projects to their professional portfolios.
9. The Student presentations provided The Corner Place with various ideas that fit perfectly with the business’ overall strategy.",?
