,contextId,context,question
0,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",What is the name of this college program?
1,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", What is the code for the Supply Chain Management program?"
2,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", What type of credential will I receive from this program?"
3,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", How long does it take to complete this program in total?"
4,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", In which months can I start this program?"
5,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", What is the domestic tuition fee for this program?"
6,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", What is the international tuition fee for this program?"
7,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", Where is this program located on campus?"
8,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", In what delivery mode will this program be offered during fall 2023?"
9,86446619-04fe-4f9d-a2e1-67b7976a98eb," Program Name: Supply Chain Management
Code: B429
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 2 semesters
Starting Months: January, September
Domestic Tuition: $6,591.00
International Tuition: $17,774.00
Program Location: St. James Campus
Delivery Mode (Fall 2023): On Campus (Semester 1)
Delivery Mode (Winter 2024): On Campus (Semesters 1 and 2)
Program Overview: The program prepares students for careers in various sectors by teaching concepts and systems used in supply chain design and performance.
Industries served: transportation, pharmaceutical, oil and gas, retail
Necessity of the profession: With the increasing complexity and uncertainty of local and global economies, the need for skilled professionals in supply chain management has never been greater.
Courses focus on applied and experiential learning, covering foundational knowledge as well as advanced techniques in supply chain optimization, risk management, and sustainable sourcing.",", What delivery mode will this program be offered during winter 2024 (for semester 1 and 2)?"
