,contextId,context,question
0,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",What is the name of this jewelry making program?
1,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", What is the code for the Jewellery Methods program?"
2,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", What type of credential will I receive after completing this program?"
3,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", How long does it take to complete the Jewellery Methods program?"
4,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", When can I start this program in the next academic year (Fall, Winter, Spring) and is it available for both domestic and international students?"
5,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", What is the tuition fee for domestic students in this program?"
6,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", What is the tuition fee for international students in this program and what does it include?"
7,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", In which centre and school is this Jewellery Methods program located?"
8,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",", Is there experiential learning component in this program, If yes then what is its nature (in-class component and placement hours)?"
9,3b7c0944-8452-4227-adbc-44c9169f5fa6," Program Name: Jewellery Methods
Code: F110
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: September
Domestic Tuition: $6,027.00 *
International Tuition: $19,856.00 **
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Location: Casa Loma Campus
Experiential Learning: Elective course with in-class component and placement hours.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Jewellery Arts (F114), Jewellery Essentials (F111), Gemmology (F105)
* Domestic tuition may be subject to change. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.
** International tuition includes other fees not included in domestic tuition, such as international student fees and health insurance fees. Please consult the college's official website or contact them directly for the most accurate and up-to-date information.",Are there any related programs to Jewellery Methods?
