,contextId,context,question
0,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",What is the name of this specific program at George Brown College?
1,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", What code is associated with Blockchain Development program?"
2,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", What kind of credential will I earn after completing this program?"
3,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", How long does it take to finish this program?"
4,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", In which months can I start this program?"
5,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", How much does it cost for domestic students to attend this program?"
6,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", How much does it cost for international students to attend this program?"
7,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", Which centre is responsible for offering this program?"
8,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", What school falls under the umbrella of Computer Technology in this context?"
9,b6d70dc5-4423-4f30-adb1-75ba69d9d4b5," Program Name: Blockchain Development
Code: T475
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $7,291.00
International Tuition: $17,964.00
Centre: Arts, Design & Information Technology
School: Computer Technology
Location: Casa Loma Campus
Program Type: Blockchain Development
Semesters with On-Campus Delivery: Fall 2023 (Semester 1), Winter 2024 (Semesters 1 and 2)
Core Focus Areas: Smart contract development, software and business patterns for blockchain, blockchain system development, full stack development, blockchain architecture, security practices, and relevant laws and regulations.
Experiential Learning: Mandatory Co-op or Work Integrated Project (available in the final semester)
Closed for Domestic Students for: Fall 2023, Winter 2024, Spring 2024
Closed for International Students for: Fall 2023, Winter 2024, Spring 2024.
Related Programs: Computer Programming and Analysis (T177), Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405), Computer Systems Technology (T147).",", Where is the Casa Loma Campus located?"
