,contextId,context,question
0,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",What is the name of the program called?
1,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", What is the code for Interprofessional Complex and Long-Term Care program?"
2,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", Is this a Ontario College Graduate Certificate?"
3,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", How long does it take to complete this program?"
4,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", In which starting months can one join this program?"
5,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", What is the domestic tuition fee for this program?"
6,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", Which centre is responsible for this program?"
7,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", Where is the Sally Horsfall Eaton School of Nursing located?"
8,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.",", In what mode is the Interprofessional Complex and Long-Term Care program delivered?"
9,b63e4a01-5899-44ad-be1f-34242553b8c2," Program Name: Interprofessional Complex and Long-Term Care
Code: S417
Credential: Ontario College Graduate Certificate
Duration: 2 semesters
Starting Months: September
Domestic Tuition: $4,872.00
Centre: Health Sciences
School: Sally Horsfall Eaton School of Nursing
Location: Waterfront Campus
Program Delivery Mode: Online
Program Description: Prepares graduates to lead, manage or coordinate a team of interprofessional health-care providers in complex and long-term care environments.","', What does this program prepare graduates to do?"
