,contextId,context,question
0,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",1. What is George Brown College's approach to records management?
1,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",", 
2. In what ways are physical and electronic records considered important to the college?"
2,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",", 
3. Which records are deemed official according to the policy?"
3,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",", 
4. What types of controls are applied to the creation, maintenance, use, and disposal of records?"
4,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",", 
5. How does the policy ensure authenticity, reliability, completeness, and usability of official records?"
5,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",", 
6. Who manages official College records and in what manner?"
6,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",", 
7. Which areas and locations is the policy applicable to within the college?"
7,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",", 
8. What happens to official records when an employee leaves or changes positions within the college?"
8,4cef3118-976c-44fb-86a6-edfc30cde4b6," The text discusses George Brown College's records management policy. According to the policy:

1. The college considers its physical and electronic records as its corporate memory, which contain information about how the College functions and why decisions were made.
2. All records created or received in the course of conducting the College's business are official records, regardless of their format (physical or electronic).
3. Controls are applied to the creation, maintenance, use, and disposal of the College's records, including retention scheduling, vital records protection, storage and administration of inactive records, management of record conversion programs, archival preservation, research access, disaster planning, and certified records destruction required under Privacy laws.
4. The policy aims to ensure that official records are authentic, reliable, complete, and usable.
5. Official records consist of all recorded information created or received by the College Board of Governors, officials, and employees in performing their official duties.
6. All official records are the property of the College and must be managed in accordance with guidelines and procedures approved by the College Records Management Working Group.
7. The policy applies to all aspects of the College's work, in all governance, academic, and administrative areas and locations where the College does business.
8. Employees leaving the College or changing positions within it must leave official College records in place and intact for their successors.",?
9,87a9236c-cd14-4544-8f66-3a0ec4b65989," The text provides information about the records management policy of the College. Here are some key facts extracted from the text:

* All official College records must be retained for as long as necessary to meet legal, administrative, financial, and operational requirements, and either destroyed or transferred to the College Archives (7.1).
* Operational responsibility for records management rests with each department head, with assistance provided by the College Archivist (7.2).
* Confidential records must be securely stored and staff compliance with confidentiality policies monitored (7.3).
* Records approved for destruction must be disposed of in a manner that safeguards their confidentiality (7.4-7.5).
* Final authority over records disposal rests with the College Archivist (7.6).
* The Records Management Working Group is established to develop and oversee implementation of the records management policy, reporting to the G.B.C. Senior Management Committee (8.1-8.2).
* The Records Management Working Group's concern encompasses all College records except those under the control of the College Archives, with College Archives policies and procedures being the responsibility of the College Archivist (8.3).
* The membership of the Records Management Working Group includes various officers and employees of the College (8.4).",1. Who is responsible for operational records management in each department?
10,87a9236c-cd14-4544-8f66-3a0ec4b65989," The text provides information about the records management policy of the College. Here are some key facts extracted from the text:

* All official College records must be retained for as long as necessary to meet legal, administrative, financial, and operational requirements, and either destroyed or transferred to the College Archives (7.1).
* Operational responsibility for records management rests with each department head, with assistance provided by the College Archivist (7.2).
* Confidential records must be securely stored and staff compliance with confidentiality policies monitored (7.3).
* Records approved for destruction must be disposed of in a manner that safeguards their confidentiality (7.4-7.5).
* Final authority over records disposal rests with the College Archivist (7.6).
* The Records Management Working Group is established to develop and oversee implementation of the records management policy, reporting to the G.B.C. Senior Management Committee (8.1-8.2).
* The Records Management Working Group's concern encompasses all College records except those under the control of the College Archives, with College Archives policies and procedures being the responsibility of the College Archivist (8.3).
* The membership of the Records Management Working Group includes various officers and employees of the College (8.4).",", 
2. What are the duties of the College Archivist with regards to confidentiality policies?"
11,87a9236c-cd14-4544-8f66-3a0ec4b65989," The text provides information about the records management policy of the College. Here are some key facts extracted from the text:

* All official College records must be retained for as long as necessary to meet legal, administrative, financial, and operational requirements, and either destroyed or transferred to the College Archives (7.1).
* Operational responsibility for records management rests with each department head, with assistance provided by the College Archivist (7.2).
* Confidential records must be securely stored and staff compliance with confidentiality policies monitored (7.3).
* Records approved for destruction must be disposed of in a manner that safeguards their confidentiality (7.4-7.5).
* Final authority over records disposal rests with the College Archivist (7.6).
* The Records Management Working Group is established to develop and oversee implementation of the records management policy, reporting to the G.B.C. Senior Management Committee (8.1-8.2).
* The Records Management Working Group's concern encompasses all College records except those under the control of the College Archives, with College Archives policies and procedures being the responsibility of the College Archivist (8.3).
* The membership of the Records Management Working Group includes various officers and employees of the College (8.4).",",
3. How should confidential records be stored?"
