,contextId,context,question
0,261cd1dc-912a-412c-89cb-3a57437720a3," * George Brown College requires students in certain continuing education courses to complete a mandatory program-specific pre-placement health form and have it reviewed and validated through Placement Pass by ParaMed.
* Students must book an appointment with their doctor or walk-in clinic, bring the health form, and have it signed and stamped upon completion of all medical requirements.
* Some sectors require proof of COVID-19 vaccination records from students in clinical practice courses, such as hospitals, long-term care facilities, childcare centres, and other health care or community-based settings.
* Students must renew their Basic Life Support (BLS) Certificate every year and complete the requirements through an approved WSIB Ontario provider. All costs and service fees are the students' responsibility.
* Students must also renew their Mask Test Fit Certificate every two years and get fitted for the 3M N95 model at approved testing centers like Peak Excellence Centre for Continuing Education or MaskFit Plus, or arrange one through their workplace or any third-party company available in their area.
* The mask fit test certificate card must clearly indicate the issue and expiry dates, mask model, and be presented during clinical placements.",1. What health form does George Brown College require for certain continuing education students?
1,261cd1dc-912a-412c-89cb-3a57437720a3," * George Brown College requires students in certain continuing education courses to complete a mandatory program-specific pre-placement health form and have it reviewed and validated through Placement Pass by ParaMed.
* Students must book an appointment with their doctor or walk-in clinic, bring the health form, and have it signed and stamped upon completion of all medical requirements.
* Some sectors require proof of COVID-19 vaccination records from students in clinical practice courses, such as hospitals, long-term care facilities, childcare centres, and other health care or community-based settings.
* Students must renew their Basic Life Support (BLS) Certificate every year and complete the requirements through an approved WSIB Ontario provider. All costs and service fees are the students' responsibility.
* Students must also renew their Mask Test Fit Certificate every two years and get fitted for the 3M N95 model at approved testing centers like Peak Excellence Centre for Continuing Education or MaskFit Plus, or arrange one through their workplace or any third-party company available in their area.
* The mask fit test certificate card must clearly indicate the issue and expiry dates, mask model, and be presented during clinical placements.",", 
2. Where should students go to get their program-specific pre-placement health form reviewed and validated?"
2,261cd1dc-912a-412c-89cb-3a57437720a3," * George Brown College requires students in certain continuing education courses to complete a mandatory program-specific pre-placement health form and have it reviewed and validated through Placement Pass by ParaMed.
* Students must book an appointment with their doctor or walk-in clinic, bring the health form, and have it signed and stamped upon completion of all medical requirements.
* Some sectors require proof of COVID-19 vaccination records from students in clinical practice courses, such as hospitals, long-term care facilities, childcare centres, and other health care or community-based settings.
* Students must renew their Basic Life Support (BLS) Certificate every year and complete the requirements through an approved WSIB Ontario provider. All costs and service fees are the students' responsibility.
* Students must also renew their Mask Test Fit Certificate every two years and get fitted for the 3M N95 model at approved testing centers like Peak Excellence Centre for Continuing Education or MaskFit Plus, or arrange one through their workplace or any third-party company available in their area.
* The mask fit test certificate card must clearly indicate the issue and expiry dates, mask model, and be presented during clinical placements.",", 
3. In which sectors do students need to provide proof of COVID-19 vaccination records?"
3,261cd1dc-912a-412c-89cb-3a57437720a3," * George Brown College requires students in certain continuing education courses to complete a mandatory program-specific pre-placement health form and have it reviewed and validated through Placement Pass by ParaMed.
* Students must book an appointment with their doctor or walk-in clinic, bring the health form, and have it signed and stamped upon completion of all medical requirements.
* Some sectors require proof of COVID-19 vaccination records from students in clinical practice courses, such as hospitals, long-term care facilities, childcare centres, and other health care or community-based settings.
* Students must renew their Basic Life Support (BLS) Certificate every year and complete the requirements through an approved WSIB Ontario provider. All costs and service fees are the students' responsibility.
* Students must also renew their Mask Test Fit Certificate every two years and get fitted for the 3M N95 model at approved testing centers like Peak Excellence Centre for Continuing Education or MaskFit Plus, or arrange one through their workplace or any third-party company available in their area.
* The mask fit test certificate card must clearly indicate the issue and expiry dates, mask model, and be presented during clinical placements.",", 
4. How often must students renew their Basic Life Support (BLS) Certificate?"
4,261cd1dc-912a-412c-89cb-3a57437720a3," * George Brown College requires students in certain continuing education courses to complete a mandatory program-specific pre-placement health form and have it reviewed and validated through Placement Pass by ParaMed.
* Students must book an appointment with their doctor or walk-in clinic, bring the health form, and have it signed and stamped upon completion of all medical requirements.
* Some sectors require proof of COVID-19 vaccination records from students in clinical practice courses, such as hospitals, long-term care facilities, childcare centres, and other health care or community-based settings.
* Students must renew their Basic Life Support (BLS) Certificate every year and complete the requirements through an approved WSIB Ontario provider. All costs and service fees are the students' responsibility.
* Students must also renew their Mask Test Fit Certificate every two years and get fitted for the 3M N95 model at approved testing centers like Peak Excellence Centre for Continuing Education or MaskFit Plus, or arrange one through their workplace or any third-party company available in their area.
* The mask fit test certificate card must clearly indicate the issue and expiry dates, mask model, and be presented during clinical placements.",", 
5. Where can students renew their Mask Test Fit Certificate and get fitted for the 3M N95 model?"
5,261cd1dc-912a-412c-89cb-3a57437720a3," * George Brown College requires students in certain continuing education courses to complete a mandatory program-specific pre-placement health form and have it reviewed and validated through Placement Pass by ParaMed.
* Students must book an appointment with their doctor or walk-in clinic, bring the health form, and have it signed and stamped upon completion of all medical requirements.
* Some sectors require proof of COVID-19 vaccination records from students in clinical practice courses, such as hospitals, long-term care facilities, childcare centres, and other health care or community-based settings.
* Students must renew their Basic Life Support (BLS) Certificate every year and complete the requirements through an approved WSIB Ontario provider. All costs and service fees are the students' responsibility.
* Students must also renew their Mask Test Fit Certificate every two years and get fitted for the 3M N95 model at approved testing centers like Peak Excellence Centre for Continuing Education or MaskFit Plus, or arrange one through their workplace or any third-party company available in their area.
* The mask fit test certificate card must clearly indicate the issue and expiry dates, mask model, and be presented during clinical placements.",", 
6. What information should the mask fit test certificate card clearly indicate?"
6,261cd1dc-912a-412c-89cb-3a57437720a3," * George Brown College requires students in certain continuing education courses to complete a mandatory program-specific pre-placement health form and have it reviewed and validated through Placement Pass by ParaMed.
* Students must book an appointment with their doctor or walk-in clinic, bring the health form, and have it signed and stamped upon completion of all medical requirements.
* Some sectors require proof of COVID-19 vaccination records from students in clinical practice courses, such as hospitals, long-term care facilities, childcare centres, and other health care or community-based settings.
* Students must renew their Basic Life Support (BLS) Certificate every year and complete the requirements through an approved WSIB Ontario provider. All costs and service fees are the students' responsibility.
* Students must also renew their Mask Test Fit Certificate every two years and get fitted for the 3M N95 model at approved testing centers like Peak Excellence Centre for Continuing Education or MaskFit Plus, or arrange one through their workplace or any third-party company available in their area.
* The mask fit test certificate card must clearly indicate the issue and expiry dates, mask model, and be presented during clinical placements.",?
7,96aa4c58-4224-4e8d-9947-6519d8693735," * Your mask fit test certificate card must be valid for two years and include issue and expiry dates, mask model, type, and size.
* You are responsible for renewing your vulnerable sector check (VSC) every year.
* If you live in the Toronto region with a postal code starting with M, follow specific steps to obtain your VSC.
* Processing times for VSC applications in Toronto typically take 7 to 10 business days but may take longer due to volume of requests and/or time of year.
* If you live in another region or province, check the regional police services website for requirements and application process.
* If you need a volunteer letter from the college for a student fee, contact Suzette Martinuzzi, Clinical Pre-placement Co-ordinator.
* Processing times for VSC applications outside of Toronto could take up to 6 weeks.
* If your course is being hosted on Brightspace, visit the college-wide Student Brightspace Support web page for details.
* You must sign-up for a ParaMed Placement Pass portal account and upload all required documents by the given deadline.
* All costs, service fees, and fines associated with the pre-placement process are your responsibility and must be paid.",1. What is the validity period for a mask fit test certificate card?
8,96aa4c58-4224-4e8d-9947-6519d8693735," * Your mask fit test certificate card must be valid for two years and include issue and expiry dates, mask model, type, and size.
* You are responsible for renewing your vulnerable sector check (VSC) every year.
* If you live in the Toronto region with a postal code starting with M, follow specific steps to obtain your VSC.
* Processing times for VSC applications in Toronto typically take 7 to 10 business days but may take longer due to volume of requests and/or time of year.
* If you live in another region or province, check the regional police services website for requirements and application process.
* If you need a volunteer letter from the college for a student fee, contact Suzette Martinuzzi, Clinical Pre-placement Co-ordinator.
* Processing times for VSC applications outside of Toronto could take up to 6 weeks.
* If your course is being hosted on Brightspace, visit the college-wide Student Brightspace Support web page for details.
* You must sign-up for a ParaMed Placement Pass portal account and upload all required documents by the given deadline.
* All costs, service fees, and fines associated with the pre-placement process are your responsibility and must be paid.",2. When should I renew my vulnerable sector check (VSC)?
9,96aa4c58-4224-4e8d-9947-6519d8693735," * Your mask fit test certificate card must be valid for two years and include issue and expiry dates, mask model, type, and size.
* You are responsible for renewing your vulnerable sector check (VSC) every year.
* If you live in the Toronto region with a postal code starting with M, follow specific steps to obtain your VSC.
* Processing times for VSC applications in Toronto typically take 7 to 10 business days but may take longer due to volume of requests and/or time of year.
* If you live in another region or province, check the regional police services website for requirements and application process.
* If you need a volunteer letter from the college for a student fee, contact Suzette Martinuzzi, Clinical Pre-placement Co-ordinator.
* Processing times for VSC applications outside of Toronto could take up to 6 weeks.
* If your course is being hosted on Brightspace, visit the college-wide Student Brightspace Support web page for details.
* You must sign-up for a ParaMed Placement Pass portal account and upload all required documents by the given deadline.
* All costs, service fees, and fines associated with the pre-placement process are your responsibility and must be paid.",3. what are the specific steps to obtain VSC in Toronto with a postal code starting with M?
