,contextId,context,question
0,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",What is the status of lab school child care centers and WAVE dental clinics at George Brown College today?
1,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", Where can students check for class changes or cancellations?"
2,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", Who should students contact if they're unable to attend classes due to weather conditions?"
3,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", How can updates on college operations be accessed?"
4,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", What information is available about Continuing Education classes on the website?"
5,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", How long should students allow for commuting to George Brown College?"
6,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", What are the contact details for voice calls and TTY at George Brown College?"
7,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", Where can inquiries be made about George Brown College?"
8,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", What is the location of George Brown College's social media hub?"
9,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", Is the information on the George Brown College website subject to change without notice?"
10,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",", What fees do students need to verify at George Brown College?"
11,b4d0d8d2-8447-46ea-8989-ad15e055f954," George Brown College is open today with lab school child care centers and WAVE dental clinics operating. Students are advised to check their email or STU-VIEW for class changes or cancellations. Those unable to attend classes due to weather conditions should discuss it with their instructors. Updates on college operations will be posted on the website, X (formerly Twitter), Facebook, and Instagram. Information about Continuing Education classes can be found on the website. Students are encouraged to allow extra time for commuting. The contact information for George Brown College is 416-415-2000 for voice calls, 1-877-515-5559 for TTY, and ask.george@georgebrown.ca for inquiries. The college's social media hub can also be visited. The information on the website is subject to change without notice and should not be considered as offers or warranties. Students are responsible for verifying George Brown College fee requirements.",?
