,contextId,context,question
0,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",What is the name of this honours bachelor's degree program?
1,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", What is the code for the American Sign Language – English Honours Bachelor's Degree?"
2,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", What type of credential will be received after completing this program?"
3,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", How long does it take to complete this program and internship experience?"
4,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", When can students start this program in the academic year (Fall, Winter or Spring) and is it available for domestic and international students?"
5,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", How much is the tuition fee for domestic students and international students respectively?"
6,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", Where is this program located?"
7,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", Are there any related programs offered in American Sign Language and Deaf Studies or Deafblind & Intervenor Studies?"
8,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",Is there an entrance scholarship available for new students?
9,748247d9-e49c-4436-a577-29a6cd9695eb," Program Name: Honours Bachelor of Interpretation (American Sign Language – English)
Code: C302
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters) + 420-hour internship experience
Starting Months: September
Domestic Tuition: $8,464.00 *
International Tuition: $21,005.00 **
Location: St. James Campus
Program Availability:
- Fall 2024: Open (Domestic), Open (International)
- Winter 2025: Not Available (Domestic), Not Available (International)
- Spring 2025: Not Available (Domestic), Not Available (International)
Related Programs: American Sign Language and Deaf Studies (C114), Deafblind & Intervenor Studies (C158)
* Eligible for a $1000 entrance scholarship.
** Developed to address the growing demand for qualified American Sign Language interpreters.
* An interpreter is a fluent bilingual-bicultural professional who facilitates communication between those who do not share the same language or culture.
* To be a sign language interpreter requires manual dexterity, critical thinking skills, visual-spatial recognition, excellent short- and long-term memory, and superior cognitive processing abilities.",", Why was this program developed?"
