,contextId,context,question
0,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",What programs does George Brown College offer in the field of food studies and culinary management?
1,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", Can you share more details about the Honours Bachelor of Food Studies Degree program?"
2,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", What makes George Brown College's learning environments and training locations stand out?"
3,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", How can students take advantage of externship and recruitment opportunities at the college?"
4,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", Who are some notable alumni from George Brown College in the culinary industry?"
5,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", What efforts does George Brown College make towards becoming an environmentally-friendly and sustainable foodservice establishment?"
6,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", How can students schedule a program information session and speak with faculty and staff?"
7,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", What is the process for contacting recruitment representatives at the college for virtual meetings or country-specific inquiries?"
8,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",", What application deadlines should prospective students be aware of?"
9,3138d03a-7fda-461d-90c5-699027be4f49," George Brown College is the largest culinary school in Canada, located in downtown Toronto. They offer a blend of theoretical and experiential education for students to succeed in the culinary and food industry. The college has best-in-class learning environments and training locations, as well as extensive externship and recruitment opportunities, and a Dean's recognition program.

George Brown College recently launched Canada's first four-year Honours Bachelor of Food Studies Degree and Culinary Management Honours Bachelor Degree programs. The college has an impressive alumni list that includes notable chefs such as Mark McEwan, Jamie Kennedy, Bonnie Stern, and Roger Mooking, among others.

The Centre for Hospitality and Culinary Arts at George Brown is LEAF Certified for its efforts towards becoming an environmentally-friendly and sustainable foodservice establishment. The college offers a free Entry Advising service to help match students' skills and career goals with program options.

Program information sessions are available, where faculty and staff answer questions and showcase classrooms, labs, and facilities. Recruitment representatives can be contacted for virtual meetings or inquiries by country of origin. The college also acknowledges the indigenous lands on which it operates and keeps students informed about application deadlines, college news, upcoming events, tours, and more through signing up on their website or contacting ask.george@georgebrown.ca.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Programs offered:
- Honours Bachelor of Food Studies Degree
- Culinary Management Honours Bachelor Degree",?
10,3f513b3e-baef-4b4d-b097-0a028f426864," Based on the provided text, there is no key information related to the programs offered by the college extracted from it. Therefore, the output will be an empty text.",What programs are offered in the George Brown college?
11,3f513b3e-baef-4b4d-b097-0a028f426864," Based on the provided text, there is no key information related to the programs offered by the college extracted from it. Therefore, the output will be an empty text.",", Can you provide details about the courses in any specific program at George Brown college?"
12,3f513b3e-baef-4b4d-b097-0a028f426864," Based on the provided text, there is no key information related to the programs offered by the college extracted from it. Therefore, the output will be an empty text.",", What are some unique features of the programs in George Brown college?"
13,3f513b3e-baef-4b4d-b097-0a028f426864," Based on the provided text, there is no key information related to the programs offered by the college extracted from it. Therefore, the output will be an empty text.",?
