,contextId,context,question
0,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",What is the name of this program?
1,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", What is the code for the Human Services Foundations program?"
2,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", What type of credential will I receive from this program?"
3,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", How long does it take to complete this program?"
4,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", In which starting months can I join this program?"
5,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", What is the domestic tuition fee for this program?"
6,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", What is the international tuition fee for this program?"
7,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", How is the study method for this program described?"
8,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", Which centre offers this program?"
9,ebb92533-66b1-459f-a1b3-3d406186d435," Program Name: Human Services Foundations
Code: A113
Credential: Ontario College Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $3,767.00
International Tuition: $17,419.00
Method of Study: Full-time
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Location: St. James Campus
Program Delivery (Fall 2023): Semester 1: Hybrid, Winter 2024: Hybrid
Credential Type: Certificate
Program Availability (2023-2025):
- Fall 2023: Suspended (Domestic), Suspended (International)
- Winter 2024: Closed (Domestic), Closed (International)
Related Programs: Social Service Worker (C119), Community Worker (C101), Social Service Worker (Accelerated) (C135)",", In which school does this program fall under?"
