,contextId,context,question
0,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",What is the name of this honours bachelor's degree program?
1,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", What is the code for the Honours Bachelor of Food Studies program?"
2,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", In which centre does the Hospitality & Culinary Arts school offer this program?"
3,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", What method of study is required for this Honours Bachelor of Food Studies program?"
4,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", How long does it take to complete this program?"
5,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", When can international students start this program in 2025?"
6,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", What is the domestic tuition fee for Canadian students in this program?"
7,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", What is the international tuition fee for this program?"
8,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", Is experiential learning available in this program?"
9,7dc70f74-712e-49ef-b5c1-0b698b584d67," Program Name: Honours Bachelor of Food Studies
Code: H318
Credential: Honours Bachelor's Degree
Method of Study: Full-time
Duration: 5 semesters
Starting Months: May
Domestic Tuition: $7,839.00 * † ‡
International Tuition: $21,450.00 ** † ‡
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: available, with community-engaged learning placements
Program Availability: Spring 2025 (Open, starts Aug 6, 2024)
Related Programs: Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316)",", Which related programs can students consider bridging from this Honours Bachelor of Food Studies program?"
