,contextId,context,question
0,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",What is the name of this game-related advanced diploma program?
1,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", What is the code for the Game – Art program?"
2,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", How long does it take to complete the Game – Art program?"
3,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", In what months can international students start this program?"
4,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", What is the tuition fee for domestic students in this program?"
5,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", Which centre and school offers this Game – Art program?"
6,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", What are the specializations available in this Game – Art program?"
7,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", When is the fall semester of this program open for domestic students?"
8,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", When is the winter semester of this program open for domestic students?"
9,0062ac86-a279-490d-9d19-a48da68cb064," Program Name: Game – Art
Code: G129
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $8,972.00 *
Centre: Arts, Design & Information Technology
School: Design
Location: Online
Specializations: Game modelling or game animation
Semester Availability:
- Fall 2024: Open for domestic students
- Winter 2025: Open for domestic students
Program Description: A rigorous program of study focused on video game art creation to break into the industry. Students will develop commercial quality games and create a portfolio/demo showcasing their skills in game development and chosen area of specialization.
* Domestic Tuition is subject to change and may not include additional fees or other expenses.",", What does the Game – Art program description entail?"
