,contextId,context,question
0,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",* What institutions' General Education or Liberal Studies courses may lead to elective exemptions?
1,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* When can students apply for elective exemptions during Web registration?"
2,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* How should applications for transfer credit be submitted?"
3,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* Which types of courses do not qualify for General Education/Liberal Studies exemptions?"
4,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* What documents are required for students who attended post-secondary institutions outside Canada?"
5,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* Where can information about applying for transfer credit be found?"
6,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* What codes are added to a student's record upon granting of General Education elective exemptions?"
7,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* How should students check their granted elective exemptions and avoid unnecessary registrations?"
8,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",",
* What can students learn by checking the provided link regarding the college and important deadlines?"
9,d914a0f9-12f4-4e6f-b426-792eb81b53de," * If a student has completed General Education or Liberal Studies courses at another post-secondary institution with a grade of 60% or higher, they may be eligible for elective exemptions.
* Students can apply for elective exemptions during Web registration for their program, with a deadline being the first day of the term.
* Applications must be submitted through STU-VIEW (Registration Services > Registration > Submit or Modify an Application for Transfer Credit).
* Program-specific courses, computer courses, study skills courses and language courses do not qualify for General Education/Liberal Studies exemptions.
* Course outlines are required to evaluate applications.
* For students who attended a post-secondary institution outside Canada, they are required to provide documents showing equivalency to Canadian post-secondary standards which can be obtained through International Credential Assessment Services or World Education Services.
* Information on how to apply for transfer credit can be found at transfercredit@georgebrown.ca.
* General Education and Liberal Studies elective exemptions are granted with the addition of generic codes to a student's record (GHUM 1111, GSSC 1111, GSCI 1111 etc, for General Education electives and LHUM 2222, LSSC 2222, LSCI 2222 etc. for Liberal Studies electives).
* Students should check their academic progress report (CAPP) by clicking the ""Credential Audit"" link on their STU-VIEW main page to confirm if they have been granted an elective exemption and ensure they are not registered in any unnecessary electives.
* Students can submit an inquiry form and learn more about the college's land acknowledgment, as well as stay informed about application deadlines, college news, upcoming events, and tours by checking the provided link.",?
