,contextId,context,question
0,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",What is the name of this program?
1,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", What is the code for the American Sign Language and Deaf Studies program?"
2,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", What kind of credential will I get after completing this program?"
3,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", How long does this program last?"
4,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", When can I start this program in the next academic year?"
5,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", What is the domestic tuition fee for this program?"
6,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", What is the international tuition fee for this program?"
7,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", In which centre is this program offered?"
8,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", Which school falls under this center?"
9,17e910b0-e663-4d69-b213-39d83cfd48de," Program Name: American Sign Language and Deaf Studies
Code: C114
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: September
Domestic Tuition: $4,152.00
International Tuition: $18,284.00
Centre: Community Services & Early Childhood
School: Deaf & Deafblind Studies
Location: St. James Campus
Program Description: A hybrid program providing intensive training in American Sign Language (ASL) and English for both Deaf and non-deaf students, including an orientation to Deaf culture and current social issues affecting Deaf people.
Program Availability:
- Fall 2024: Open (Domestic and International)
- Winter 2025: Not Available (Domestic and International)
- Spring 2025: Not Available (Domestic and International)
Related Programs: Honours Bachelor of Interpretation (ASL – English) (C302), Practical Nursing (PN) (S121)",", Where is the location of this campus?"
