,contextId,context,question
0,9e2de910-a326-490e-95d9-3cf99ebb9d7b," The text provides information about resources for learning about anti-racism, specifically films/documentaries and a booklist. The books mentioned are ""Saul Indian Horse"" by Richard Wagamese and an award-winning novel that tells the story of the evacuation, relocation, and dispersal of Canadian citizens.

The film ""Saul Indian Horse"" is about an Ojibway man named Saul who experiences sorrows and joys in his northern Ontario life, battles racism, and deals with the spirit-destroying effects of cultural alienation and displacement. The book was written with spare beauty and penetrates the heart of the remarkable Ojibway man.

The second book mentioned is an award-winning novel that tells the story of five friends who were taken from their families when they are very small and sent to a residential school. After being released, they struggle to overcome or at least forget the trauma they endured during their years at the Mission. The path of these five friends crosses and crisscrosses over the decades. The author's experiences inspired this novel, which was the first to tell the story of the evacuation, relocation, and dispersal of Canadian citizens.

There is no explicit mention of a program offered by the college in the text.","What book besides ""Saul Indian Horse"" by Richard Wagamese is mentioned in the text?"
1,9e2de910-a326-490e-95d9-3cf99ebb9d7b," The text provides information about resources for learning about anti-racism, specifically films/documentaries and a booklist. The books mentioned are ""Saul Indian Horse"" by Richard Wagamese and an award-winning novel that tells the story of the evacuation, relocation, and dispersal of Canadian citizens.

The film ""Saul Indian Horse"" is about an Ojibway man named Saul who experiences sorrows and joys in his northern Ontario life, battles racism, and deals with the spirit-destroying effects of cultural alienation and displacement. The book was written with spare beauty and penetrates the heart of the remarkable Ojibway man.

The second book mentioned is an award-winning novel that tells the story of five friends who were taken from their families when they are very small and sent to a residential school. After being released, they struggle to overcome or at least forget the trauma they endured during their years at the Mission. The path of these five friends crosses and crisscrosses over the decades. The author's experiences inspired this novel, which was the first to tell the story of the evacuation, relocation, and dispersal of Canadian citizens.

There is no explicit mention of a program offered by the college in the text.",", Who wrote the award-winning novel about the experiences of five friends in a residential school?"
2,9e2de910-a326-490e-95d9-3cf99ebb9d7b," The text provides information about resources for learning about anti-racism, specifically films/documentaries and a booklist. The books mentioned are ""Saul Indian Horse"" by Richard Wagamese and an award-winning novel that tells the story of the evacuation, relocation, and dispersal of Canadian citizens.

The film ""Saul Indian Horse"" is about an Ojibway man named Saul who experiences sorrows and joys in his northern Ontario life, battles racism, and deals with the spirit-destroying effects of cultural alienation and displacement. The book was written with spare beauty and penetrates the heart of the remarkable Ojibway man.

The second book mentioned is an award-winning novel that tells the story of five friends who were taken from their families when they are very small and sent to a residential school. After being released, they struggle to overcome or at least forget the trauma they endured during their years at the Mission. The path of these five friends crosses and crisscrosses over the decades. The author's experiences inspired this novel, which was the first to tell the story of the evacuation, relocation, and dispersal of Canadian citizens.

There is no explicit mention of a program offered by the college in the text.",", What is the storyline of the second book mentioned?"
3,9e2de910-a326-490e-95d9-3cf99ebb9d7b," The text provides information about resources for learning about anti-racism, specifically films/documentaries and a booklist. The books mentioned are ""Saul Indian Horse"" by Richard Wagamese and an award-winning novel that tells the story of the evacuation, relocation, and dispersal of Canadian citizens.

The film ""Saul Indian Horse"" is about an Ojibway man named Saul who experiences sorrows and joys in his northern Ontario life, battles racism, and deals with the spirit-destroying effects of cultural alienation and displacement. The book was written with spare beauty and penetrates the heart of the remarkable Ojibway man.

The second book mentioned is an award-winning novel that tells the story of five friends who were taken from their families when they are very small and sent to a residential school. After being released, they struggle to overcome or at least forget the trauma they endured during their years at the Mission. The path of these five friends crosses and crisscrosses over the decades. The author's experiences inspired this novel, which was the first to tell the story of the evacuation, relocation, and dispersal of Canadian citizens.

There is no explicit mention of a program offered by the college in the text.",", Which events does the second book tell the story of (evacuation, relocation, dispersal)?"
4,9e2de910-a326-490e-95d9-3cf99ebb9d7b," The text provides information about resources for learning about anti-racism, specifically films/documentaries and a booklist. The books mentioned are ""Saul Indian Horse"" by Richard Wagamese and an award-winning novel that tells the story of the evacuation, relocation, and dispersal of Canadian citizens.

The film ""Saul Indian Horse"" is about an Ojibway man named Saul who experiences sorrows and joys in his northern Ontario life, battles racism, and deals with the spirit-destroying effects of cultural alienation and displacement. The book was written with spare beauty and penetrates the heart of the remarkable Ojibway man.

The second book mentioned is an award-winning novel that tells the story of five friends who were taken from their families when they are very small and sent to a residential school. After being released, they struggle to overcome or at least forget the trauma they endured during their years at the Mission. The path of these five friends crosses and crisscrosses over the decades. The author's experiences inspired this novel, which was the first to tell the story of the evacuation, relocation, and dispersal of Canadian citizens.

There is no explicit mention of a program offered by the college in the text.",Who was inspired by real-life experiences to write the second novel?
5,9e2de910-a326-490e-95d9-3cf99ebb9d7b," The text provides information about resources for learning about anti-racism, specifically films/documentaries and a booklist. The books mentioned are ""Saul Indian Horse"" by Richard Wagamese and an award-winning novel that tells the story of the evacuation, relocation, and dispersal of Canadian citizens.

The film ""Saul Indian Horse"" is about an Ojibway man named Saul who experiences sorrows and joys in his northern Ontario life, battles racism, and deals with the spirit-destroying effects of cultural alienation and displacement. The book was written with spare beauty and penetrates the heart of the remarkable Ojibway man.

The second book mentioned is an award-winning novel that tells the story of five friends who were taken from their families when they are very small and sent to a residential school. After being released, they struggle to overcome or at least forget the trauma they endured during their years at the Mission. The path of these five friends crosses and crisscrosses over the decades. The author's experiences inspired this novel, which was the first to tell the story of the evacuation, relocation, and dispersal of Canadian citizens.

There is no explicit mention of a program offered by the college in the text.",?
6,162741d1-7cc3-460e-8633-4a2159722278," The text mentions several books and their authors who tell poignant stories from Canadian and American history. Here is the factual information extracted from the text:

1. The first novel mentioned in the text is set in Chinatown, Vancouver, in the late 1930s and 40s. It tells the story of a Canadian-Japanese immigrant family through the reminiscences of their three younger children. The author of this novel is not explicitly stated in the text, but it can be inferred that the author is Afua Cooper based on the mention of her other work.
2. Afua Cooper's book tells the story of Marie-Joseph Angélique, a slave woman convicted of starting a fire in Montréal in 1734 and was condemned to die a brutal death. The book includes archival illustrations and is based on 15 years of research.
3. In 1927, Zora Neale Hurston went to Plateau, Alabama, just outside Mobile, to interview Cudjo Lewis, who was the only person alive at that time to tell the story of the Atlantic slave trade in America. Hurston recorded Cudjo's firsthand account of his capture and bondage fifty years after the Atlantic slave trade was outlawed in the United States.
4. Ibram X. Kendi wrote a book called ""Stamped: Racism, Antiracism, and You,"" which takes readers through a widening circle of antiracist ideas to help them see all forms of racism clearly and work to oppose them.
5. DiAngelo's follow-up work to ""White Fragility"" is called ""Nice Racism."" She explains how progressive white people perpetuate racial harm in this book, drawing on her background as a sociologist and over 25 years of working as an anti-racist educator.","* Who wrote the novel set in Chinatown, Vancouver about a Canadian-Japanese immigrant family?"
7,162741d1-7cc3-460e-8633-4a2159722278," The text mentions several books and their authors who tell poignant stories from Canadian and American history. Here is the factual information extracted from the text:

1. The first novel mentioned in the text is set in Chinatown, Vancouver, in the late 1930s and 40s. It tells the story of a Canadian-Japanese immigrant family through the reminiscences of their three younger children. The author of this novel is not explicitly stated in the text, but it can be inferred that the author is Afua Cooper based on the mention of her other work.
2. Afua Cooper's book tells the story of Marie-Joseph Angélique, a slave woman convicted of starting a fire in Montréal in 1734 and was condemned to die a brutal death. The book includes archival illustrations and is based on 15 years of research.
3. In 1927, Zora Neale Hurston went to Plateau, Alabama, just outside Mobile, to interview Cudjo Lewis, who was the only person alive at that time to tell the story of the Atlantic slave trade in America. Hurston recorded Cudjo's firsthand account of his capture and bondage fifty years after the Atlantic slave trade was outlawed in the United States.
4. Ibram X. Kendi wrote a book called ""Stamped: Racism, Antiracism, and You,"" which takes readers through a widening circle of antiracist ideas to help them see all forms of racism clearly and work to oppose them.
5. DiAngelo's follow-up work to ""White Fragility"" is called ""Nice Racism."" She explains how progressive white people perpetuate racial harm in this book, drawing on her background as a sociologist and over 25 years of working as an anti-racist educator.",* What is the title of Afua Cooper's book about Marie-Joseph Angélique and her conviction for starting a fire in Montréal?
8,162741d1-7cc3-460e-8633-4a2159722278," The text mentions several books and their authors who tell poignant stories from Canadian and American history. Here is the factual information extracted from the text:

1. The first novel mentioned in the text is set in Chinatown, Vancouver, in the late 1930s and 40s. It tells the story of a Canadian-Japanese immigrant family through the reminiscences of their three younger children. The author of this novel is not explicitly stated in the text, but it can be inferred that the author is Afua Cooper based on the mention of her other work.
2. Afua Cooper's book tells the story of Marie-Joseph Angélique, a slave woman convicted of starting a fire in Montréal in 1734 and was condemned to die a brutal death. The book includes archival illustrations and is based on 15 years of research.
3. In 1927, Zora Neale Hurston went to Plateau, Alabama, just outside Mobile, to interview Cudjo Lewis, who was the only person alive at that time to tell the story of the Atlantic slave trade in America. Hurston recorded Cudjo's firsthand account of his capture and bondage fifty years after the Atlantic slave trade was outlawed in the United States.
4. Ibram X. Kendi wrote a book called ""Stamped: Racism, Antiracism, and You,"" which takes readers through a widening circle of antiracist ideas to help them see all forms of racism clearly and work to oppose them.
5. DiAngelo's follow-up work to ""White Fragility"" is called ""Nice Racism."" She explains how progressive white people perpetuate racial harm in this book, drawing on her background as a sociologist and over 25 years of working as an anti-racist educator.","* In what year did Zora Neale Hurston go to Plateau, Alabama to interview Cudjo Lewis about his experiences with the Atlantic slave trade?"
9,162741d1-7cc3-460e-8633-4a2159722278," The text mentions several books and their authors who tell poignant stories from Canadian and American history. Here is the factual information extracted from the text:

1. The first novel mentioned in the text is set in Chinatown, Vancouver, in the late 1930s and 40s. It tells the story of a Canadian-Japanese immigrant family through the reminiscences of their three younger children. The author of this novel is not explicitly stated in the text, but it can be inferred that the author is Afua Cooper based on the mention of her other work.
2. Afua Cooper's book tells the story of Marie-Joseph Angélique, a slave woman convicted of starting a fire in Montréal in 1734 and was condemned to die a brutal death. The book includes archival illustrations and is based on 15 years of research.
3. In 1927, Zora Neale Hurston went to Plateau, Alabama, just outside Mobile, to interview Cudjo Lewis, who was the only person alive at that time to tell the story of the Atlantic slave trade in America. Hurston recorded Cudjo's firsthand account of his capture and bondage fifty years after the Atlantic slave trade was outlawed in the United States.
4. Ibram X. Kendi wrote a book called ""Stamped: Racism, Antiracism, and You,"" which takes readers through a widening circle of antiracist ideas to help them see all forms of racism clearly and work to oppose them.
5. DiAngelo's follow-up work to ""White Fragility"" is called ""Nice Racism."" She explains how progressive white people perpetuate racial harm in this book, drawing on her background as a sociologist and over 25 years of working as an anti-racist educator.",* What is the name of Ibram X. Kendi's book that helps readers see all forms of racism clearly?
