,contextId,context,question
0,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",1. What is the frequency of comprehensive program reviews at George Brown College?
1,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",", 
2. Who leads the process of a comprehensive program review at George Brown College?"
2,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",", 
3. How often do shorter programs or those with lower enrollment undergo a review at George Brown College?"
3,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",", 
4. What is the name of the written self-assessment submitted by program staff for shorter programs or those with lower enrollment at George Brown College?"
4,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",", 
5. Who submits the Program Quality Self-Assessment (PQSA) to academic managers at George Brown College?"
5,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",", 
6. What data is considered in the rolling three-year plan for program reviews at George Brown College?"
6,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",", 
7. What happens during annual program reviews at George Brown College?"
7,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",", 
8. Which office manages the rolling three-year plan for program reviews at George Brown College?"
8,08098248-5ec6-484c-923e-60866c14af4b," The George Brown College conducts annual and comprehensive program reviews for diploma, certificate, apprenticeship, and degree programs to assess their strengths, challenges, and overall quality. A comprehensive review takes place every five to seven years, and a program reviewer leads the process with assistance from faculty, curriculum specialists, and academic managers. The Office of Academic Excellence manages a rolling three-year plan for reviews, considering strategic priorities, mandated accreditations, and other program-specific data. Shorter programs or those with lower enrollment or satisfactory performance may undergo a Program Quality Self-Assessment (PQSA) instead. PQSAs are written by program staff and submitted to their academic managers by April 30 of the academic review year. Annual program reviews are conducted by academic managers to ensure the programs remain relevant and up-to-date.",?
9,59a902ee-68bd-4396-823b-989a6ccc61ca," Annual program reviews at the college are completed and documented by academic managers and program staff by June 15 of the academic review year. Recommendations from these reviews are added to a program review recommendations spreadsheet, which is updated annually and forwarded to the Office of Academic Excellence by June 30 of the academic review year.

Reports for various programs offered at the college can be accessed by employees by logging into GBCommunity. The reports include:

Preparatory & Liberal Studies:
- A101, A105, A106, A107, A146 - final reports from academic years 2018-19, 2016-17, and 2016-17 respectively.

Arts, Design & Information Technology:
- F105, F111, F110, F114 - final reports from academic year 2017-18 for Gemmology, Jewellery, and unspecified reports respectively.
- G405, G414 - final reports from academic years 2018-19 and 2016-17 for Digital Design - Game Design and Interdisciplinary Design Strategy respectively.
- P101, P104, P105, P106, P400 – Screenwriting Narrative Design - reports from academic years 2017-18, 2018-19, 2017-18, 2017-18, and 2019-20 respectively.
- T405, T411, T413 – reports from academic years 2019-20, 2016-17, and 2019-20 for Information Systems Business Analysis, Wireless Networking, and Cyber Security respectively.

Community Services & Early Childhood:
- C101, C119, C135 - final reports from academic years 2018-19, 2016-17, and 2016-17 respectively.

Health Sciences (no specific reports mentioned).",What is the deadline for completing and documenting annual program reviews at the college?
