,contextId,context,question
0,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",What is the name of the Business Administration – Project Management program?
1,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", What is the duration of this program in semesters?"
2,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", In what starting months can students join this program?"
3,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", What is the Ontario College Advanced Diploma credential for this program?"
4,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", How much does it cost for domestic students to attend this program?"
5,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", What is the international student tuition fee for this program?"
6,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", Where is this program located?"
7,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", What is the method of study for this Business Administration – Project Management program?"
8,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", What are the outcomes of completing this program?"
9,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",", In which semesters does this program deliver on campus?"
10,38377cbc-f71e-4100-ad1b-761ff4e165eb," Program Name: Business Administration – Project Management
Code: B126
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,640.00
International Tuition: $17,455.00
Location: St. James Campus
Method of Study: Full-time
Program Description: Prepare to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools in careers that incorporate project management or stand-alone project manager positions.
Program Outcomes: Demonstrate knowledge, skills, and abilities related to business in general and project management in particular.
Delivery Mode: On Campus (Semester 1-6 for both fall and winter)
Note: The text does not provide any factual information regarding program availability, contact details, or related programs.",?
11,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.",1. What accreditation does the George Brown College Centre for Business hold?
12,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.",",
2. Which organizations are students in the Centre for Business programs required to bring their own laptops?"
13,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.",",
3. What are the different types of educational programs offered at the Centre for Business?"
14,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.",",
4. In which aspects of an organization do project management initiatives have an impact according to the program?"
15,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.",",
5. What skills do students learn in the accounting and financial knowledge application part of the program?"
16,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.","_,
6. How does the College allocate human resources in its business programs?"
17,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.","_,
7. What are some career options for graduates of the Centre for Business programs?"
18,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.",",
8. Where can individuals find more information about the field education opportunities at the Centre for Business?"
19,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.","_,
9. Which colleges in Ontario have ACBSP accreditation for Accounting & Finance, HR, Management, and Marketing programs?"
20,dfa6eaed-36c0-4b9a-bdd9-71ca39176e6f," The George Brown College Centre for Business offers various educational programs in business, leading to diplomas, advanced diplomas, and degrees. These programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP). Students enrolled in this program are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative.

The Center for Business programs focus on project management, enabling students to analyze the impact of project management initiatives on various aspects of an organization and implement project plans. They also learn accounting and financial knowledge application, allocate human resources, work effectively with teams and stakeholders, and demonstrate leadership skills. The College has 14 accredited programs in Accounting & Finance, HR, Management, and Marketing, making it one of only two colleges in Ontario with ACBSP accreditation.

The students can gain real-life experience through field education opportunities, which may include on-the-job work experience and projects with real-world challenges and clients. Career options for graduates may include positions such as assistant project manager, junior project manager/coordinator, and project manager.

For more information about the program or field education, contact the Centre for Business at business@georgebrown.ca.",?
21,b5d827ba-518d-4f48-a53c-335e42ed8463," George Brown College is a Global Registered Education Provider with the Project Management Institute (PMI). Graduates of any George Brown College courses listed on PMI's Registered Education Provider portal can satisfy the education requirements necessary to apply for the Certified Associate in Project Management (CAPM) or Project Management Professional (PMP) certification.

The B126 program requires students to complete 36 courses: 30 Mandatory courses, 3 Business Electives, and 3 General Education Electives. Depending on the results of placement tests, students may need to take COMM 1000 (Introduction to College Communication) or MATH 1027 (Business Math with Remediation) before progressing to other courses. These courses do not count toward the 36 courses required for graduation and will be charged extra.

Students must complete three General Education courses from at least two of the following categories: Social Sciences, Arts and Humanities, or Science and Technology. Students are required to make up any failed or dropped courses before they are eligible to graduate and can do so during the day or through Continuing Education. Not all courses may be offered in every semester, and students should check with the business office staff for equivalency and special timetable requirements.

Required Courses for Semester 1:
- BUS 1038: Business Concepts I (No prerequisite)
- COMM 2000: Communicating Across Contexts (No prerequisite)
- COMP 1010: Business Computer Applications I (None)",What courses should students complete in the first semester for the B126 program?
22,b5d827ba-518d-4f48-a53c-335e42ed8463," George Brown College is a Global Registered Education Provider with the Project Management Institute (PMI). Graduates of any George Brown College courses listed on PMI's Registered Education Provider portal can satisfy the education requirements necessary to apply for the Certified Associate in Project Management (CAPM) or Project Management Professional (PMP) certification.

The B126 program requires students to complete 36 courses: 30 Mandatory courses, 3 Business Electives, and 3 General Education Electives. Depending on the results of placement tests, students may need to take COMM 1000 (Introduction to College Communication) or MATH 1027 (Business Math with Remediation) before progressing to other courses. These courses do not count toward the 36 courses required for graduation and will be charged extra.

Students must complete three General Education courses from at least two of the following categories: Social Sciences, Arts and Humanities, or Science and Technology. Students are required to make up any failed or dropped courses before they are eligible to graduate and can do so during the day or through Continuing Education. Not all courses may be offered in every semester, and students should check with the business office staff for equivalency and special timetable requirements.

Required Courses for Semester 1:
- BUS 1038: Business Concepts I (No prerequisite)
- COMM 2000: Communicating Across Contexts (No prerequisite)
- COMP 1010: Business Computer Applications I (None)",", Which categories do students need to choose General Education Electives from?"
23,b5d827ba-518d-4f48-a53c-335e42ed8463," George Brown College is a Global Registered Education Provider with the Project Management Institute (PMI). Graduates of any George Brown College courses listed on PMI's Registered Education Provider portal can satisfy the education requirements necessary to apply for the Certified Associate in Project Management (CAPM) or Project Management Professional (PMP) certification.

The B126 program requires students to complete 36 courses: 30 Mandatory courses, 3 Business Electives, and 3 General Education Electives. Depending on the results of placement tests, students may need to take COMM 1000 (Introduction to College Communication) or MATH 1027 (Business Math with Remediation) before progressing to other courses. These courses do not count toward the 36 courses required for graduation and will be charged extra.

Students must complete three General Education courses from at least two of the following categories: Social Sciences, Arts and Humanities, or Science and Technology. Students are required to make up any failed or dropped courses before they are eligible to graduate and can do so during the day or through Continuing Education. Not all courses may be offered in every semester, and students should check with the business office staff for equivalency and special timetable requirements.

Required Courses for Semester 1:
- BUS 1038: Business Concepts I (No prerequisite)
- COMM 2000: Communicating Across Contexts (No prerequisite)
- COMP 1010: Business Computer Applications I (None)",", Can students take COMM 1000 or MATH 1027 before other courses if required?"
24,b5d827ba-518d-4f48-a53c-335e42ed8463," George Brown College is a Global Registered Education Provider with the Project Management Institute (PMI). Graduates of any George Brown College courses listed on PMI's Registered Education Provider portal can satisfy the education requirements necessary to apply for the Certified Associate in Project Management (CAPM) or Project Management Professional (PMP) certification.

The B126 program requires students to complete 36 courses: 30 Mandatory courses, 3 Business Electives, and 3 General Education Electives. Depending on the results of placement tests, students may need to take COMM 1000 (Introduction to College Communication) or MATH 1027 (Business Math with Remediation) before progressing to other courses. These courses do not count toward the 36 courses required for graduation and will be charged extra.

Students must complete three General Education courses from at least two of the following categories: Social Sciences, Arts and Humanities, or Science and Technology. Students are required to make up any failed or dropped courses before they are eligible to graduate and can do so during the day or through Continuing Education. Not all courses may be offered in every semester, and students should check with the business office staff for equivalency and special timetable requirements.

Required Courses for Semester 1:
- BUS 1038: Business Concepts I (No prerequisite)
- COMM 2000: Communicating Across Contexts (No prerequisite)
- COMP 1010: Business Computer Applications I (None)",", How many courses do graduates of George Brown College need to satisfy PMI certification requirements?"
25,b5d827ba-518d-4f48-a53c-335e42ed8463," George Brown College is a Global Registered Education Provider with the Project Management Institute (PMI). Graduates of any George Brown College courses listed on PMI's Registered Education Provider portal can satisfy the education requirements necessary to apply for the Certified Associate in Project Management (CAPM) or Project Management Professional (PMP) certification.

The B126 program requires students to complete 36 courses: 30 Mandatory courses, 3 Business Electives, and 3 General Education Electives. Depending on the results of placement tests, students may need to take COMM 1000 (Introduction to College Communication) or MATH 1027 (Business Math with Remediation) before progressing to other courses. These courses do not count toward the 36 courses required for graduation and will be charged extra.

Students must complete three General Education courses from at least two of the following categories: Social Sciences, Arts and Humanities, or Science and Technology. Students are required to make up any failed or dropped courses before they are eligible to graduate and can do so during the day or through Continuing Education. Not all courses may be offered in every semester, and students should check with the business office staff for equivalency and special timetable requirements.

Required Courses for Semester 1:
- BUS 1038: Business Concepts I (No prerequisite)
- COMM 2000: Communicating Across Contexts (No prerequisite)
- COMP 1010: Business Computer Applications I (None)",", What is the name of the program that requires students to complete 36 courses in total?"
