,contextId,context,question
0,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",1. What is the role of George Brown College during COVID-19 pandemic?
1,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",2. What are the objectives of George Brown College's Strategy 2022?
2,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",3. How many courses has George Brown College shifted to online or hybrid delivery?
3,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",4. How many people have accessed the Online Learning microsite from cities around the world?
4,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",5. How many virtual tutoring sessions have been provided through Tutoring and Learning Centre?
5,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",6. How many students completed virtual experiential learning opportunities at George Brown College?
6,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",7. What types of remote work-integrated learning placements were offered to students?
7,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",8. How many entrepreneurship WIL placements were provided by startGBC?
8,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",9. How many experiential learning projects were completed through Riipen?
9,260923c6-ec78-415c-8034-4389c677baff," George Brown College: a leading institution in innovation and collaboration during COVID-19 pandemic.
Strategy 2022 objectives: Future Skills, Connections, New Ways of Teaching, Learning & Service Delivery, and Foundations for Success.
Role in training and retraining workers, helping businesses recover, and getting economy back on track.
3,184 courses shifted to online or hybrid delivery.
7 people in cities around the world accessed Online Learning microsite.
13,615 virtual tutoring sessions provided through Tutoring and Learning Centre.
9,305 students completed virtual experiential learning opportunities, including:
- 8,211 remote work-integrated learning placements with employers.
- 42 entrepreneurship WIL placements with startGBC.
- 1,037 experiential learning projects completed through Riipen.
- 15 virtual placements with international employers (pilot program for underrepresented students).
Innovative new virtual work-integrated learning opportunities developed during pandemic.
High-quality online learning experience supported by professional development programming, consultation services, and digital resources.
Building on connections with organizations for research and creating new learning opportunities.",10. How many virtual placements with international employers were offered as a pilot program for underrepresented students?
