,contextId,context,question
0,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",1. What role do polytechnic institutions like George Brown College play in preparing students for the labor market?
1,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",",
2. what percentage of George Brown College graduates find jobs in their field within six months?"
2,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",",
3. How does George Brown College provide industry-responsive education?"
3,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",",
4. Who teaches theoretical knowledge and practical skills at George Brown College?"
4,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",",
5. In which career-focused programs at George Brown College is an experiential learning opportunity guaranteed?"
5,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",",
6. What benefits do students gain from these experiential learning opportunities?"
6,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",",
7. What industries does George Brown College have state-of-the-art facilities for?"
7,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",",
8. How has George Brown College leveraged new opportunities during the pandemic?"
8,5afeae98-7f79-4a53-a53b-4036ade09b15," The text discusses the importance of polytechnic institutions like George Brown College in preparing students for the rapidly changing labor market. Polytechnic graduates have a high employment rate, with 86% finding jobs in their field within six months. The college provides industry-responsive education through a combination of theoretical knowledge and practical skills taught by experienced instructors. At least one experiential learning opportunity is included in 100% of career-focused programs at George Brown College, allowing students to gain confidence and competency in real-world settings and often leading to employment upon graduation. The college has state-of-the-art facilities for various industries such as construction, healthcare, culinary arts, and design. Throughout the pandemic, the college has leveraged new opportunities.",?
9,e4a164f5-b029-4359-9ff0-f3b2d9dfc364," EXTRACTED INFORMATION:
- The college has prepared students for job success in Canada and the global market throughout the pandemic.
- A recent pilot project enabled students to develop intercultural skills through virtual placements with companies in Spain, Portugal, China, Japan, Singapore, and Sweden.
- Students learn to innovate and problem-solve alongside industry through participation in college-led research projects.
- Over the past 14 years, the college has provided more than 15,000 student research experiences.
- Canada’s polytechnics have become hubs for innovation, ideation, and cutting-edge talent development.
- Polytechnics offer short-term credentials to provide learners with emerging skills and ensure industry access to skilled employees.
- George Brown recently partnered with robotics solution provider GlobalDWS to create an online Service Robotics micro-credential.
- The polytechnic network offers nearly 17,000 continuing education, professional development, and contract training programs.
- Polytechnic graduates have been essential in Canada’s pandemic response, including participating in Ontario’s largest Personal Support Worker recruitment and training drives and increasing capacity in Nursing and Practical Nursing programs.",1. How has the college helped students prepare for job success during the pandemic?
10,e4a164f5-b029-4359-9ff0-f3b2d9dfc364," EXTRACTED INFORMATION:
- The college has prepared students for job success in Canada and the global market throughout the pandemic.
- A recent pilot project enabled students to develop intercultural skills through virtual placements with companies in Spain, Portugal, China, Japan, Singapore, and Sweden.
- Students learn to innovate and problem-solve alongside industry through participation in college-led research projects.
- Over the past 14 years, the college has provided more than 15,000 student research experiences.
- Canada’s polytechnics have become hubs for innovation, ideation, and cutting-edge talent development.
- Polytechnics offer short-term credentials to provide learners with emerging skills and ensure industry access to skilled employees.
- George Brown recently partnered with robotics solution provider GlobalDWS to create an online Service Robotics micro-credential.
- The polytechnic network offers nearly 17,000 continuing education, professional development, and contract training programs.
- Polytechnic graduates have been essential in Canada’s pandemic response, including participating in Ontario’s largest Personal Support Worker recruitment and training drives and increasing capacity in Nursing and Practical Nursing programs.",2. What intercultural skills did students gain through virtual placements with international companies?
11,e4a164f5-b029-4359-9ff0-f3b2d9dfc364," EXTRACTED INFORMATION:
- The college has prepared students for job success in Canada and the global market throughout the pandemic.
- A recent pilot project enabled students to develop intercultural skills through virtual placements with companies in Spain, Portugal, China, Japan, Singapore, and Sweden.
- Students learn to innovate and problem-solve alongside industry through participation in college-led research projects.
- Over the past 14 years, the college has provided more than 15,000 student research experiences.
- Canada’s polytechnics have become hubs for innovation, ideation, and cutting-edge talent development.
- Polytechnics offer short-term credentials to provide learners with emerging skills and ensure industry access to skilled employees.
- George Brown recently partnered with robotics solution provider GlobalDWS to create an online Service Robotics micro-credential.
- The polytechnic network offers nearly 17,000 continuing education, professional development, and contract training programs.
- Polytechnic graduates have been essential in Canada’s pandemic response, including participating in Ontario’s largest Personal Support Worker recruitment and training drives and increasing capacity in Nursing and Practical Nursing programs.",3. In what ways do students innovate and problem-solve alongside industry in the college's research projects?
